 240 lines ;  NRLEUV Flare model --> solar min and solar flare (max) estimate
 3 columns : wavelength (nm),  solar min, solar max (W/m^2)  -> NOT W/m^2/nm
     0.250000  4.14651e-08  2.07325e-07
     0.750000  1.48973e-06  7.44863e-06
      1.25000  1.42443e-05  7.12215e-05
      1.75000  8.93234e-05  0.000154289
      2.25000  1.00212e-05  3.18137e-05
      2.75000  4.30168e-06  1.71941e-05
      3.25000  1.21560e-05  2.95376e-05
      3.75000  8.85195e-06  2.16381e-05
      4.25000  1.97314e-05  3.46524e-05
      4.75000  9.28596e-06  1.95452e-05
      5.25000  1.72711e-05  2.83886e-05
      5.75000  1.48079e-05  2.43209e-05
      6.25000  2.39380e-05  3.36137e-05
      6.75000  7.40454e-06  1.38276e-05
      7.25000  1.03270e-05  1.68128e-05
      7.75000  1.07884e-05  1.68479e-05
      8.25000  1.30457e-05  1.89248e-05
      8.75000  6.35933e-06  1.09008e-05
      9.25000  2.67063e-06  6.06283e-06
      9.75000  7.82213e-06  1.22208e-05
      10.2500  2.43042e-06  5.86657e-06
      10.7500  1.83000e-06  4.48531e-06
      11.2500  1.28170e-06  3.69638e-06
      11.7500  8.16660e-07  4.08330e-06
      12.2500  6.71503e-07  2.36522e-06
      12.7500  4.18046e-07  2.09023e-06
      13.2500  8.85776e-07  4.42888e-06
      13.7500  3.37671e-07  1.68836e-06
      14.2500  2.45392e-06  4.48042e-06
      14.7500  1.17658e-05  1.43697e-05
      15.2500  7.66043e-06  9.94371e-06
      15.7500  4.63440e-06  6.64607e-06
      16.2500  4.65529e-06  6.53689e-06
      16.7500  1.66651e-05  2.06662e-05
      17.2500  0.000231785  0.000234229
      17.7500  9.56882e-05  9.68282e-05
      18.2500  0.000128870  0.000130483
      18.7500  7.60236e-05  7.73359e-05
      19.2500  6.14645e-05  8.36676e-05
      19.7500  9.23691e-05  9.32083e-05
      20.2500  0.000131025  0.000132620
      20.7500  2.50403e-05  2.59078e-05
      21.2500  3.83643e-05  3.98058e-05
      21.7500  3.79108e-05  3.94363e-05
      22.2500  3.17855e-05  3.29870e-05
      22.7500  4.09492e-05  4.16214e-05
      23.2500  8.22509e-06  1.23155e-05
      23.7500  7.63351e-06  1.25340e-05
      24.2500  1.68836e-05  2.38870e-05
      24.7500  1.71029e-05  1.82039e-05
      25.2500  1.87875e-05  2.71077e-05
      25.7500  6.64312e-05  9.07889e-05
      26.2500  3.09700e-05  3.29678e-05
      26.7500  1.67273e-06  1.94594e-06
      27.2500  2.98965e-05  3.08004e-05
      27.7500  3.49580e-05  3.60345e-05
      28.2500  6.76530e-05  7.02170e-05
      28.7500  6.57013e-06  6.87148e-06
      29.2500  1.66699e-05  1.71505e-05
      29.7500  1.44756e-05  1.47369e-05
      30.2500  0.000225397  0.000528042
      30.7500  3.20312e-06  4.43545e-06
      31.2500  2.01814e-05  2.09092e-05
      31.7500  5.40107e-05  5.44549e-05
      32.2500  8.26803e-06  9.13916e-06
      32.7500  8.11244e-07  1.10178e-06
      33.2500  1.00645e-05  1.03039e-05
      33.7500  2.80755e-05  2.95992e-05
      34.2500  7.42129e-06  7.84659e-06
      34.7500  4.50194e-05  4.56712e-05
      35.2500  1.66672e-05  1.73263e-05
      35.7500  2.28148e-05  2.45623e-05
      36.2500  1.93018e-05  2.01264e-05
      36.7500  5.15357e-05  5.26890e-05
      37.2500  8.08219e-07  1.82796e-06
      37.7500  3.53549e-07  7.82151e-07
      38.2500  9.81806e-07  1.32060e-06
      38.7500  8.46550e-07  1.29373e-06
      39.2500  1.05943e-06  1.08269e-06
      39.7500  2.34656e-06  2.75879e-06
      40.2500  1.29618e-05  1.46426e-05
      40.7500  2.92211e-07  3.08286e-07
      41.2500  3.19221e-07  3.81914e-07
      41.7500  4.42550e-06  6.18114e-06
      42.2500  2.90646e-07  4.62885e-07
      42.7500  1.72781e-06  1.77581e-06
      43.2500  1.55208e-05  1.59560e-05
      43.7500  1.18327e-05  1.22000e-05
      44.2500  2.31793e-06  2.37273e-06
      44.7500  1.45606e-06  1.96768e-06
      45.2500  7.25474e-07  1.00194e-06
      45.7500  1.37450e-06  2.68864e-06
      46.2500  5.84012e-07  1.36929e-06
      46.7500  1.57488e-05  1.71044e-05
      47.2500  1.89804e-06  1.90014e-06
      47.7500  2.32681e-06  2.38721e-06
      48.2500  3.57236e-06  4.28003e-06
      48.7500  2.95738e-06  4.57383e-06
      49.2500  4.03714e-06  4.74997e-06
      49.7500  2.50626e-05  2.58783e-05
      50.2500  5.93077e-06  5.93866e-06
      50.7500  1.54048e-06  4.48999e-06
      51.2500  7.34043e-07  8.27798e-07
      51.7500  1.71263e-06  2.02818e-06
      52.2500  1.25701e-05  1.36435e-05
      52.7500  7.12599e-07  2.03937e-06
      53.2500  4.13237e-08  4.41182e-08
      53.7500  8.15865e-06  1.18327e-05
      54.2500  8.17288e-07  1.83912e-06
      54.7500  2.94196e-08  5.69466e-08
      55.2500  1.14209e-05  2.30730e-05
      55.7500  3.61266e-06  5.79488e-06
      56.2500  3.40442e-06  4.19615e-06
      56.7500  1.70766e-06  2.20525e-06
      57.2500  1.50039e-06  2.16618e-06
      57.7500  1.26941e-07  1.44359e-07
      58.2500  6.31485e-05  7.34286e-05
      58.7500  6.49099e-07  7.77111e-07
      59.2500  9.26581e-08  1.22069e-07
      59.7500  1.70522e-06  4.93990e-06
      60.2500  2.33683e-07  2.39063e-07
      60.7500  3.00783e-05  3.60179e-05
      61.2500  1.75412e-07  2.75494e-07
      61.7500  1.99076e-07  3.08382e-07
      62.2500  1.26926e-05  1.39154e-05
      62.7500  2.20186e-05  3.45754e-05
      63.2500  2.18157e-07  2.40409e-07
      63.7500  7.41613e-07  7.53418e-07
      64.2500  2.12105e-07  5.96319e-07
      64.7500  6.14389e-07  6.16833e-07
      65.2500  1.83485e-07  3.36610e-07
      65.7500  3.27638e-07  9.08520e-07
      66.2500  5.92254e-07  1.52216e-06
      66.7500  5.13509e-07  5.71516e-07
      67.2500  6.84101e-07  9.84818e-07
      67.7500  2.53404e-07  5.15595e-07
      68.2500  2.90096e-07  1.01171e-06
      68.7500  1.86840e-06  4.17713e-06
      69.2500  1.10398e-06  1.50410e-06
      69.7500  5.44241e-07  7.94920e-07
      70.2500  1.62303e-06  6.78364e-06
      70.7500  1.71202e-06  1.79501e-06
      71.2500  8.29796e-07  1.18651e-06
      71.7500  1.09384e-06  3.19705e-06
      72.2500  9.33239e-07  1.10522e-06
      72.7500  7.41867e-07  1.20381e-06
      73.2500  1.27642e-06  1.30946e-06
      73.7500  1.40716e-06  1.42471e-06
      74.2500  1.49165e-06  1.76924e-06
      74.7500  1.22334e-06  2.44787e-06
      75.2500  2.77991e-06  3.08847e-06
      75.7500  1.22746e-06  3.23010e-06
      76.2500  1.73254e-06  6.57696e-06
      76.7500  8.10522e-06  8.10781e-06
      77.2500  1.61733e-05  1.78333e-05
      77.7500  3.15500e-06  4.03561e-06
      78.2500  1.01588e-05  1.05803e-05
      78.7500  3.44652e-06  1.21700e-05
      79.2500  1.66262e-05  1.66262e-05
      79.7500  3.33384e-06  4.22575e-06
      80.2500  4.06316e-06  4.28603e-06
      80.7500  4.53715e-06  4.77102e-06
      81.2500  5.05950e-06  5.08140e-06
      81.7500  5.41634e-06  5.80823e-06
      82.2500  5.73618e-06  6.01920e-06
      82.7500  6.55159e-06  6.55159e-06
      83.2500  9.05942e-06  2.45724e-05
      83.7500  8.27644e-06  1.72481e-05
      84.2500  8.44322e-06  8.44557e-06
      84.7500  8.30237e-06  9.19713e-06
      85.2500  9.70467e-06  1.01309e-05
      85.7500  9.08119e-06  1.08940e-05
      86.2500  1.17757e-05  1.18784e-05
      86.7500  1.30850e-05  1.30873e-05
      87.2500  1.40662e-05  1.40957e-05
      87.7500  1.53167e-05  1.53371e-05
      88.2500  1.66298e-05  1.66814e-05
      88.7500  1.81291e-05  1.81313e-05
      89.2500  1.96542e-05  1.97141e-05
      89.7500  2.18504e-05  2.19166e-05
      90.2500  1.83645e-05  2.84074e-05
      90.7500  2.55593e-05  2.56030e-05
      91.2500  2.70215e-05  2.95701e-05
      91.7500  1.24523e-05  1.56569e-05
      92.2500  3.83379e-06  6.80838e-06
      92.7500  3.31790e-06  3.69405e-06
      93.2500  6.06606e-06  7.06802e-06
      93.7500  5.95354e-06  6.70580e-06
      94.2500  3.03174e-06  3.32616e-06
      94.7500  1.00225e-05  1.12865e-05
      95.2500  1.37358e-06  1.39230e-06
      95.7500  1.19431e-06  1.22347e-06
      96.2500  1.26898e-06  1.30294e-06
      96.7500  1.33895e-06  1.36887e-06
      97.2500  1.88715e-05  2.14679e-05
      97.7500  5.16586e-05  0.000101847
      98.2500  1.65944e-06  1.65944e-06
      98.7500  2.06676e-06  3.75879e-06
      99.2500  3.08970e-06  6.21214e-06
      99.7500  2.47279e-06  2.88773e-06
      100.250  2.17738e-06  2.20477e-06
      100.750  1.90989e-06  2.65112e-06
      101.250  3.36626e-06  4.27576e-06
      101.750  2.24559e-06  2.63482e-06
      102.250  2.80374e-06  3.39687e-06
      102.750  8.03415e-05  9.16460e-05
      103.250  5.69069e-05  6.43866e-05
      103.750  3.28901e-05  4.18250e-05
      104.250  3.56096e-06  3.60982e-06
      104.750  4.19014e-06  4.22959e-06
      105.250  4.06421e-06  4.06798e-06
      105.750  4.38677e-06  4.38677e-06
      106.250  3.94062e-06  4.79601e-06
      106.750  4.60880e-06  4.93539e-06
      107.250  4.22620e-06  5.58638e-06
      107.750  4.91965e-06  5.60837e-06
      108.250  8.22985e-06  1.03009e-05
      108.750  9.22927e-06  1.17436e-05
      109.250  6.80015e-06  6.80015e-06
      109.750  7.17858e-06  7.35000e-06
      110.250  2.79684e-06  2.80815e-06
      110.750  2.71728e-06  4.59845e-06
      111.250  4.05021e-06  6.65291e-06
      111.750  2.02620e-06  2.09161e-06
      112.250  2.35985e-06  2.44851e-06
      112.750  2.67487e-06  2.82338e-06
      113.250  2.78813e-06  2.79338e-06
      113.750  3.12158e-06  3.13376e-06
      114.250  3.38079e-06  3.38946e-06
      114.750  3.87666e-06  3.89561e-06
      115.250  4.09067e-06  4.10099e-06
      115.750  4.51390e-06  4.51562e-06
      116.250  4.96939e-06  4.96939e-06
      116.750  5.46691e-06  5.47541e-06
      117.250  7.84680e-06  1.27621e-05
      117.750  2.35576e-05  4.78516e-05
      118.250  7.29360e-06  7.30534e-06
      118.750  7.85464e-06  8.17596e-06
      119.250  1.88013e-05  2.02601e-05
      119.750  1.13126e-05  1.15322e-05
