; #
; # NRLEUV Quiet Sun Irradiances from 50-1200 A
; # File generated: Thu Jun 24 12:29:02 2004   by  Harry Warren, NRL
; #
; # Wavelengths are in angstroms.
; # Irradiances are in photons/cm^2/sec.
; #
; # Wavelength bins are centered, i.e., 50.5 corresponds
; # to wavelengths greater or equal to 50 A and less
; # than 51 A.
; # 
; # WAVELENGTH IRRADIANCE
 1200 lines  :  NRLEUV Version 2 Quiet Sun irradiance
    2 columns :  wavelength (Angstroms), irradiance (photons/cm^2/sec)
       0.5   0.000e+00
       1.5   3.651e-14
       2.5   2.550e-15
       3.5   5.943e-07
       4.5   1.833e-06
       5.5   2.096e-01
       6.5   7.301e+00
       7.5   9.006e+00
       8.5   1.177e+01
       9.5   4.790e+02
      10.5   8.888e+01
      11.5   5.464e+02
      12.5   8.620e+01
      13.5   1.699e+04
      14.5   5.450e+02
      15.5   2.133e+03
      16.5   5.688e+03
      17.5   3.712e+04
      18.5   1.766e+05
      19.5   4.454e+04
      20.5   1.684e+04
      21.5   2.005e+06
      22.5   1.386e+06
      23.5   2.805e+04
      24.5   2.875e+05
      25.5   1.473e+05
      26.5   2.342e+05
      27.5   3.310e+03
      28.5   1.356e+06
      29.5   9.353e+05
      30.5   6.232e+05
      31.5   4.680e+04
      32.5   1.872e+05
      33.5   5.991e+06
      34.5   1.733e+06
      35.5   1.170e+06
      36.5   6.064e+04
      37.5   1.359e+04
      38.5   1.766e+04
      39.5   3.850e+05
      40.5   1.729e+07
      41.5   1.584e+07
      42.5   1.825e+05
      43.5   5.779e+05
      44.5   3.427e+06
      45.5   1.754e+05
      46.5   1.256e+06
      47.5   5.612e+06
      48.5   1.699e+06
      49.5   3.525e+06
      50.5   7.480e+06
      51.5   3.352e+05
      52.5   3.182e+06
      53.5   8.768e+05
      54.5   1.588e+06
      55.5   2.159e+07
      56.5   2.734e+06
      57.5   4.780e+06
      58.5   1.125e+05
      59.5   2.151e+05
      60.5   7.169e+06
      61.5   3.350e+07
      62.5   5.592e+06
      63.5   7.336e+06
      64.5   3.110e+06
      65.5   4.381e+06
      66.5   8.386e+05
      67.5   4.024e+06
      68.5   4.631e+06
      69.5   1.492e+07
      70.5   3.744e+06
      71.5   4.015e+06
      72.5   1.456e+07
      73.5   1.027e+06
      74.5   7.562e+06
      75.5   1.090e+07
      76.5   1.002e+07
      77.5   1.161e+07
      78.5   5.272e+06
      79.5   4.632e+06
      80.5   8.206e+06
      81.5   4.752e+06
      82.5   1.055e+07
      83.5   1.658e+07
      84.5   1.306e+07
      85.5   9.016e+06
      86.5   6.841e+06
      87.5   8.028e+06
      88.5   3.423e+06
      89.5   4.480e+06
      90.5   1.366e+07
      91.5   1.115e+07
      92.5   8.324e+06
      93.5   1.030e+07
      94.5   7.804e+06
      95.5   4.923e+06
      96.5   1.032e+07
      97.5   7.064e+06
      98.5   6.887e+06
      99.5   5.883e+06
     100.5   6.491e+06
     101.5   5.404e+06
     102.5   4.755e+06
     103.5   1.467e+07
     104.5   3.637e+06
     105.5   6.206e+06
     106.5   5.848e+06
     107.5   3.684e+06
     108.5   2.893e+06
     109.5   1.862e+06
     110.5   1.805e+05
     111.5   7.686e+06
     112.5   1.712e+06
     113.5   4.147e+06
     114.5   4.360e+06
     115.5   3.132e+06
     116.5   4.537e+06
     117.5   4.260e+06
     118.5   7.413e+05
     119.5   3.202e+05
     120.5   5.896e+05
     121.5   1.322e+06
     122.5   4.836e+06
     123.5   3.235e+06
     124.5   1.050e+05
     125.5   1.216e+05
     126.5   3.365e+05
     127.5   2.189e+06
     128.5   3.102e+05
     129.5   2.876e+06
     130.5   6.990e+06
     131.5   9.679e+06
     132.5   1.751e+06
     133.5   1.011e+06
     134.5   7.358e+05
     135.5   9.694e+05
     136.5   7.988e+05
     137.5   2.383e+06
     138.5   2.084e+06
     139.5   2.150e+06
     140.5   3.957e+06
     141.5   1.775e+06
     142.5   1.752e+06
     143.5   2.221e+06
     144.5   8.625e+05
     145.5   8.851e+05
     146.5   2.276e+04
     147.5   2.973e+06
     148.5   2.949e+07
     149.5   6.602e+04
     150.5   1.753e+07
     151.5   8.010e+05
     152.5   1.111e+07
     153.5   1.782e+06
     154.5   5.303e+06
     155.5   1.097e+05
     156.5   4.477e+06
     157.5   1.143e+07
     158.5   3.533e+05
     159.5   1.609e+06
     160.5   2.415e+06
     161.5   1.958e+05
     162.5   1.346e+07
     163.5   1.162e+06
     164.5   2.683e+06
     165.5   2.778e+06
     166.5   9.731e+05
     167.5   4.786e+07
     168.5   1.306e+08
     169.5   5.013e+05
     170.5   2.509e+06
     171.5   1.319e+09
     172.5   1.345e+07
     173.5   2.277e+07
     174.5   6.129e+08
     175.5   4.607e+07
     176.5   1.342e+06
     177.5   3.607e+08
     178.5   1.450e+07
     179.5   5.898e+06
     180.5   4.404e+08
     181.5   2.023e+07
     182.5   6.374e+07
     183.5   8.491e+06
     184.5   1.574e+08
     185.5   6.722e+07
     186.5   8.019e+07
     187.5   2.299e+06
     188.5   2.767e+08
     189.5   1.769e+07
     190.5   5.089e+07
     191.5   3.832e+06
     192.5   1.396e+08
     193.5   2.395e+08
     194.5   1.640e+07
     195.5   3.841e+08
     196.5   1.490e+07
     197.5   9.055e+06
     198.5   2.117e+07
     199.5   3.625e+05
     200.5   6.237e+06
     201.5   3.796e+07
     202.5   2.699e+08
     203.5   6.772e+07
     204.5   2.172e+07
     205.5   1.258e+07
     206.5   2.123e+07
     207.5   1.074e+07
     208.5   1.258e+07
     209.5   7.902e+07
     210.5   3.614e+06
     211.5   6.313e+07
     212.5   3.717e+06
     213.5   1.214e+07
     214.5   2.204e+07
     215.5   9.208e+06
     216.5   6.480e+07
     217.5   3.442e+07
     218.5   1.777e+07
     219.5   1.784e+07
     220.5   3.053e+07
     221.5   2.482e+07
     222.5   1.541e+07
     223.5   3.362e+07
     224.5   4.883e+07
     225.5   9.009e+07
     226.5   4.960e+07
     227.5   1.222e+08
     228.5   1.668e+07
     229.5   3.281e+06
     230.5   2.449e+07
     231.5   8.131e+06
     232.5   6.222e+06
     233.5   2.024e+07
     234.5   3.212e+07
     235.5   2.268e+07
     236.5   2.189e+06
     237.5   2.996e+07
     238.5   3.031e+07
     239.5   9.660e+06
     240.5   1.755e+07
     241.5   9.275e+07
     242.5   1.513e+07
     243.5   5.851e+07
     244.5   4.023e+07
     245.5   4.902e+06
     246.5   6.385e+07
     247.5   1.072e+07
     248.5   1.104e+07
     249.5   2.089e+07
     250.5   7.036e+06
     251.5   5.593e+07
     252.5   3.801e+06
     253.5   1.604e+07
     254.5   1.474e+06
     255.5   2.874e+06
     256.5   1.996e+08
     257.5   1.262e+08
     258.5   7.084e+07
     259.5   3.222e+07
     260.5   2.971e+06
     261.5   4.062e+07
     262.5   5.064e+05
