 120 lines :NRLEUV Flare Model in 1nm bins for Bastille Day 2000 Flare
 3 columns: wavelength (nm)   pre-flare (W/m^2)   flare peak (W/m^2)
     0.500000  1.12766e-05  0.000757525
      1.50000  0.000239355  0.000607744
      2.50000  4.75459e-05  0.000166496
      3.50000  5.06115e-05  0.000123317
      4.50000  5.33583e-05  0.000100900
      5.50000  5.25246e-05  8.63026e-05
      6.50000  4.66803e-05  7.22004e-05
      7.50000  3.36619e-05  5.36478e-05
      8.50000  2.95896e-05  4.58808e-05
      9.50000  1.84457e-05  3.29969e-05
      10.5000  1.03190e-05  2.50788e-05
      11.5000  7.78809e-06  3.17360e-05
      12.5000  4.44995e-06  1.90708e-05
      13.5000  6.06649e-06  5.91453e-05
      14.5000  1.90206e-05  2.58917e-05
      15.5000  1.65366e-05  2.23840e-05
      16.5000  2.74171e-05  3.50561e-05
      17.5000  0.000329094  0.000332699
      18.5000  0.000207100  0.000210064
      19.5000  0.000176998  0.000207692
      20.5000  0.000157227  0.000159731
      21.5000  7.92379e-05  8.23215e-05
      22.5000  7.47043e-05  7.66280e-05
      23.5000  2.48518e-05  3.90434e-05
      24.5000  4.20329e-05  5.30239e-05
      25.5000  0.000118521  0.000164023
      26.5000  3.46211e-05  3.70486e-05
      27.5000  6.68825e-05  6.89251e-05
      28.5000  7.65328e-05  7.94886e-05
      29.5000  3.18669e-05  3.26254e-05
      30.5000  0.000528186   0.00123311
      31.5000  7.56304e-05  7.68298e-05
      32.5000  1.01791e-05  1.15322e-05
      33.5000  4.00471e-05  4.19088e-05
      34.5000  5.37919e-05  5.49043e-05
      35.5000  4.19396e-05  4.45147e-05
      36.5000  7.30384e-05  7.50796e-05
      37.5000  2.60314e-06  5.84864e-06
      38.5000  2.61415e-06  3.75472e-06
      39.5000  3.85210e-06  4.36345e-06
      40.5000  1.48624e-05  1.67666e-05
      41.5000  6.59799e-06  9.13943e-06
      42.5000  2.24642e-06  2.56874e-06
      43.5000  2.81344e-05  2.89602e-05
      44.5000  4.33814e-06  5.08920e-06
      45.5000  3.69984e-06  6.66425e-06
      46.5000  1.85583e-05  2.18698e-05
      47.5000  4.28991e-06  4.35430e-06
      48.5000  8.85537e-06  1.22117e-05
      49.5000  3.07350e-05  3.24159e-05
      50.5000  1.04215e-05  1.90688e-05
      51.5000  2.86181e-06  3.34253e-06
      52.5000  1.56276e-05  2.06023e-05
      53.5000  1.19319e-05  1.72884e-05
      54.5000  1.88789e-06  4.23028e-06
      55.5000  2.87901e-05  5.57404e-05
      56.5000  6.39259e-06  8.00955e-06
      57.5000  2.30175e-06  3.27870e-06
      58.5000  7.38952e-05  8.59517e-05
      59.5000  5.08221e-06  1.45307e-05
      60.5000  3.64049e-05  4.35523e-05
      61.5000  5.84009e-07  9.10565e-07
      62.5000  4.85734e-05  6.97051e-05
      63.5000  9.95847e-07  1.03231e-06
      64.5000  1.21323e-06  2.29170e-06
      65.5000  1.24731e-06  3.14405e-06
      66.5000  2.09010e-06  4.53586e-06
      67.5000  1.49867e-06  2.46543e-06
      68.5000  5.20039e-06  1.28882e-05
      69.5000  2.29647e-06  3.20712e-06
      70.5000  8.56096e-06  3.01411e-05
      71.5000  4.39059e-06  1.10676e-05
      72.5000  2.30937e-06  3.26451e-06
      73.5000  2.73457e-06  2.78617e-06
      74.5000  4.21939e-06  7.00601e-06
      75.5000  6.31903e-06  1.19481e-05
      76.5000  1.46898e-05  3.30224e-05
      77.5000  2.18244e-05  2.47789e-05
      78.5000  2.27554e-05  5.40943e-05
      79.5000  2.08130e-05  2.19471e-05
      80.5000  9.05856e-06  9.53961e-06
      81.5000  1.08919e-05  1.13353e-05
      82.5000  1.25724e-05  1.28685e-05
      83.5000  4.17985e-05  0.000102502
      84.5000  1.76449e-05  1.86414e-05
      85.5000  2.10271e-05  2.36517e-05
      86.5000  2.49692e-05  2.50748e-05
      87.5000  2.94364e-05  2.94863e-05
      88.5000  3.48168e-05  3.48706e-05
      89.5000  4.16368e-05  4.17633e-05
      90.5000  5.40027e-05  6.95386e-05
      91.5000  4.51890e-05  5.20106e-05
      92.5000  1.04940e-05  1.61822e-05
      93.5000  1.37728e-05  1.57868e-05
      94.5000  1.46337e-05  1.63830e-05
      95.5000  2.61533e-06  2.66419e-06
      96.5000  2.67198e-06  2.73742e-06
      97.5000  0.000123521  0.000225670
      98.5000  5.42356e-06  8.50862e-06
      99.5000  9.09152e-06  1.58395e-05
      100.500  4.85700e-06  5.91613e-06
      101.500  6.90655e-06  8.51677e-06
      102.500  9.52581e-05  0.000108902
      103.500  0.000106157  0.000125989
      104.500  7.84089e-06  7.93020e-06
      105.500  8.45550e-06  8.45927e-06
      106.500  9.73173e-06  1.11209e-05
      107.500  1.11948e-05  1.37755e-05
      108.500  2.20478e-05  2.78407e-05
      109.500  1.41514e-05  1.43273e-05
      110.500  7.41064e-06  1.06127e-05
      111.500  8.73430e-06  1.30676e-05
      112.500  5.27272e-06  5.52162e-06
      113.500  5.92789e-06  5.94538e-06
      114.500  7.28617e-06  7.31392e-06
      115.500  8.61750e-06  8.62954e-06
      116.500  1.04459e-05  1.04544e-05
      117.500  6.06884e-05  0.000118118
      118.500  1.54831e-05  1.58300e-05
      119.500  3.17740e-05  3.35671e-05
