 301 lines  : Si QE model (Henke constants and IRD Si diode measurements)  T. Woods 9/21/04
 3 columns :  Wavelength_nm  IRD_Si_QE_%  Si_QE_25nm_dead_layer_%
    0.0413233     0.122534     0.122534
    0.0424409     0.132834     0.132833
    0.0435885     0.143740     0.143739
    0.0447674     0.155240     0.155239
    0.0459795     0.167308     0.167306
    0.0472231     0.182857     0.182855
    0.0484997     0.199686     0.199684
    0.0498112     0.217815     0.217812
    0.0511596     0.237308     0.237305
    0.0525430     0.258200     0.258197
    0.0539634     0.280532     0.280528
    0.0554229     0.304339     0.304335
    0.0569218     0.329631     0.329626
    0.0584626     0.356400     0.356393
    0.0600426     0.384714     0.384706
    0.0616674     0.419537     0.419528
    0.0633340     0.456947     0.456936
    0.0650488     0.497024     0.497012
    0.0668086     0.539824     0.539809
    0.0686130     0.585375     0.585358
    0.0704695     0.633752     0.633731
    0.0723743     0.684883     0.684859
    0.0743315     0.738729     0.738701
    0.0763456     0.795176     0.795143
    0.0784074     0.862957     0.862919
    0.0805314     0.939975     0.939930
    0.0827073      1.02254      1.02249
    0.0849459      1.11094      1.11087
    0.0872414      1.20541      1.20533
    0.0895996      1.30581      1.30572
    0.0920273      1.41255      1.41244
    0.0945109      1.52518      1.52506
    0.0970715      1.64387      1.64373
    0.0996944      1.76816      1.76800
     0.102395      1.92069      1.92050
     0.105166      2.08691      2.08669
     0.108007      2.26450      2.26423
     0.110925      2.45371      2.45340
     0.113933      2.65503      2.65467
     0.117008      2.86807      2.86765
     0.120173      3.09291      3.09242
     0.123427      3.31319      3.31262
     0.126763      3.53921      3.53855
     0.130192      3.81176      3.81100
     0.133712      4.13548      4.13459
     0.137329      4.48099      4.47994
     0.141043      4.84824      4.84701
     0.144859      5.23775      5.23632
     0.148777      5.64895      5.64728
     0.152800      6.08176      6.07981
     0.156934      6.53526      6.53300
     0.161178      7.00778      7.00516
     0.165538      7.49737      7.49434
     0.170015      8.10664      8.10310
     0.174613      8.76567      8.76153
     0.179337      9.46355      9.45872
     0.184186      10.2003      10.1947
     0.189169      10.9758      10.9692
     0.194286      11.7872      11.7796
     0.199540      12.6327      12.6239
     0.204936      13.5093      13.4992
     0.210479      14.4123      14.4006
     0.216171      15.4190      15.4055
     0.222021      16.6122      16.5966
     0.228024      17.8662      17.8481
     0.234193      19.1801      19.1590
     0.240527      20.5490      20.5247
     0.247031      21.9697      21.9416
     0.253715      23.4350      23.4027
     0.260573      24.9361      24.8990
     0.267621      26.4642      26.4218
     0.274860      28.0063      27.9579
     0.282295      29.8361      29.7805
     0.289934      31.8374      31.7735
     0.297776      33.8961      33.8228
     0.305827      35.9990      35.9151
     0.314103      38.1334      38.0377
     0.322595      40.2820      40.1731
     0.331320      42.4244      42.3010
     0.340278      44.5407      44.4012
     0.349487      46.6066      46.4496
     0.358938      48.7325      48.5558
     0.368640      51.3668      51.1665
     0.378615      53.9933      53.7669
     0.388852      56.5825      56.3274
     0.399375      59.1121      58.8257
     0.410171      61.5505      61.2303
     0.421265      63.8715      63.5146
     0.432660      66.0414      65.6451
     0.444369      68.0250      67.5869
     0.456393      69.7933      69.3111
     0.468731      71.9363      71.4033
     0.481399      74.2903      73.7002
     0.494436      76.4722      75.8213
     0.507803      78.4592      77.7439
     0.521540      80.2293      79.4462
     0.535646      81.7604      80.9062
     0.550122      83.0302      82.1024
     0.565015      84.0255      83.0218
     0.580302      84.7291      83.6477
     0.595981      85.2024      84.0412
     0.612107      86.5356      85.2775
     0.628651      87.6626      86.3049
     0.645677      88.5999      87.1376
     0.663118      89.3365      87.7653
     0.681079      27.5699      27.5148
     0.699487      29.3715      29.3081
     0.718417      31.1915      31.1188
     0.737829      32.9775      32.8947
     0.757809      34.7668      34.6728
     0.778266      36.7647      36.6576
     0.799342      39.0793      38.9567
     0.820939      41.4341      41.2942
     0.843161      43.7742      43.6152
     0.865954      46.0996      45.9197
     0.889375      48.4123      48.2093
     0.913425      50.6812      50.4529
     0.938172      52.8908      52.6350
     0.963547      55.0059      54.7202
     0.989622      56.9914      56.6736
      1.01631      59.5982      59.2415
      1.04387      62.2288      61.8290
      1.07203      64.7739      64.3273
      1.10107      67.2194      66.7221
      1.13080      69.5261      68.9742
      1.16142      71.6644      71.0542
      1.19282      73.6069      72.9346
      1.22512      75.1152      74.3839
      1.25825      76.0700      75.2886
      1.29228      77.7248      76.8664
      1.32723      79.8752      78.9270
      1.36313      81.7698      80.7290
      1.40000      83.4140      82.2773
      1.43787      84.8268      83.5892
      1.47677      85.9929      84.6494
      1.51669      86.9002      85.4459
      1.55773      87.5417      85.9719
      1.59986      87.9157      86.2249
      1.64312      87.9992      86.1850
      1.68756      88.3380      86.3858
      1.73322      89.0990      86.9886
      1.78010      89.8616      87.5817
      1.82825      90.4536      87.9964
      1.87768      90.8726      88.2306
      1.92847      91.1242      88.2918
      1.98064      91.2122      88.1829
      2.03420      91.1338      87.9014
      2.08922      90.8847      87.4424
      2.14574      90.4589      86.8003
      2.20375      89.9229      86.0392
      2.26338      90.3273      86.1612
      2.32458      90.6401      86.8937
      2.38748      90.8251      86.8161
      2.45204      90.8882      86.6249
      2.51833      90.8206      86.2948
      2.58648      90.6118      85.8154
      2.65642      90.2509      85.1767
      2.72827      90.0900      84.7108
      2.80209      90.3741      84.6438
      2.87787      90.5477      84.4517
      2.95568      90.6014      84.1261
      3.03565      90.5254      83.6574
      3.11772      90.3088      83.0373
