39 lines ; NIST Calibrations of EOS SORCE XPS diodes
23 columns ; Wavelength (Å)	AlCr-8	AlCr-19	AlCr-21	AlMn-3	AlMn-8	Wavelength (Å)	AlMn-14	AlNbC-1	AlNbC-5	AlScC-8	AlScC-9	Wavelength (Å)	AlScC-16	TiC-4	TiC-26	TiMoAu-3	TiMoAu-10	Wavelength (Å)	TiMoSiC-1	TiMoSiC-5	TiPd-15	TiZrAu-6
50	2.86	3.03	8.54	3	12.72	50	2.86	1.78	1.83	2.93	2.93	50	16.73	7.49	7.6	1.29	1.63	50	3.3	2.79	10.57	0.41
53	2.3	2.42	6.09	2.4	8.91	53	2.3	1.39	1.43	1.96	1.96	53	10.96	5.99	6.13	1.69	2.07	53	2.81	2.32	8.01	0.54
58	1.77	1.85	4.3	1.84	6.09	58	1.77	1.03	1.07	1.28	1.28	58	6.16	4.44	4.81	2.1	2.5	58	1.86	1.5	6.02	0.73
63	1.17	1.21	3.19	1.35	4.91	63	1.28	0.66	0.68	0.77	0.77	63	4.37	2.6	3.01	2.62	3.23	63	1.39	1.09	4.76	1.67
68	0.76	0.78	2.02	0.79	3.01	68	0.74	0.36	0.37	0.55	0.55	68	3.23	1.8	2.13	2.95	3.66	68	0.9	0.69	3.89	2.51
73	0.59	0.6	1.53	0.62	2.22	73	0.58	0.28	0.29	0.37	0.37	73	2.02	1.19	1.45	2.88	3.59	73	0.52	0.38	3.29	2.32
78	0.44	0.45	1.15	0.47	1.68	78	0.44	0.2	0.21	0.24	0.24	78	1.31	0.82	1.03	2.75	3.48	78	0.37	0.27	2.75	2.28
83	0.3	0.31	0.76	0.34	1.16	83	0.32	0.14	0.15	0.14	0.14	83	0.96	0.64	0.8	2.67	3.42	83	0.28	0.19	2.23	2.13
90	0.14	0.13	0.52	0.13	0.91	90	0.12	0.05	0.06	0.06	0.06	90	0.73	0.44	0.44	2	2.64	90	0.11	0.05	1.83	1.53
95	0.08	0.07	0.32	0.07	0.55	95	0.07	0.04	0.05	0.04	0.04	95	0.49	0.36	0.34	1.46	1.97	95	0.02	0.02	1.42	1.03
100	0.05	0.05	0.24	0.04	0.41	100	0.05	0.02	0.03	0.01	0.01	100	0.37	0.3	0.28	1.03	1.43	100	0.02	0.02	1.02	0.75
106	0.03	0.04	0.19	0.03	0.33	106	0.04	0.02	0.02	0.01	0.01	106	0.22	0.2	0.17	0.58	0.83	106	0.01	0.01	0.58	0.47
116	0.02	0.03	0.1	0.01	0.14	116	0.01	0.01	0.01	0.01	0.01	116	0.02	0.07	0.03	0.2	0.27	116	0.01	0.02	0.17	0.29
126	0.01	0.01	0.04	0.01	0.1	126	0.01	0.01	0.01	0.01	0.01	126	0.01	0.04	0.01	0.07	0.09	126	2.89	2.5	0.01	0.18
136	0.01	0.01	0.02	0.01	0.01	136	0.01	0.01	0.01	0.01	0.01	136	0.01	0.02	0.01	0.03	0.04	136	2.07	1.69	0.01	0.08
146	0	0.01	0.01	0.01	0.01	146	0.01	0.01	0.01	0.01	0	146	0.01	0.01	0.01	0.02	0.03	146	1.13	0.89	0.01	0.03
156	0	0.01	0.01	0.01	0.01	156	-1	0.01	0.01	0.01	0.01	156	0.01	0.01	0.01	0.01	0.01	156	0.47	0.3	0.01	0
166	0.02	0.01	-1	-1	0.01	166	-1	0.01	0.01	-1	0.01	166	0.01	-1	0.01	0.01	0	166	0.1	0	0.01	0.01
175	0.01	0.01	0.01	0.01	0.01	175	0.01	1.7	1.75	3.01	3.14	175	4.58	-1	-1	-1	-1	175	-0.02	0.01	-1	-1
185	0.01	0.01	0.01	0.01	0.01	185	0.01	1.11	1.13	2.55	2.7	185	3.92	-1	-1	-1	-1	185	0.01	0	-1	-1
195	0.01	0	0	0.01	0	195	0.01	0.67	0.69	2.17	2.3	195	3.26	-1	-1	-1	-1	195	0	0	-1	-1
205	0.01	0	0.01	0.01	0	205	0.01	0.38	0.38	1.74	1.86	205	2.63	-1	-1	-1	-1	205	0.01	0	-1	-1
215	0.01	0	0.01	0.01	0.01	215	0.01	0.21	0.22	1.36	1.45	215	2.06	-1	-1	-1	-1	215	0.01	0	-1	-1
225	0.01	0	0.01	0	0	225	0.01	0.14	0.13	0.9	0.98	225	1.43	-1	-1	-1	-1	225	-0.01	0	-1	-1
235	0.01	0.01	0.01	0	0.01	235	0.01	0.09	0.08	0.58	0.64	235	0.95	-1	-1	-1	-1	235	0	0	-1	-1
245	0.01	0	0	0	0	245	0.01	0.05	0.03	0.21	0.22	245	0.33	-1	-1	-1	-1	245	0	0	-1	-1
255	0	0	0	0	0	255	0	0.02	0.01	0	0.01	255	0.01	-1	-1	-1	-1	255	0	0	-1	-1
270	0	0	0	0.05	0.55	270	0.07	0.01	0	0	0	270	0.01	-1	-1	-1	-1	270	0	0	-1	-1
290	0	0	0	0.03	0.37	290	0.05	0	0	0	0	290	0	-1	-1	-1	-1	290	0	0	-1	-1
310	0.09	0.08	0.17	0.01	0.25	310	0.03	0	0	0	0	310	0	-1	-1	-1	-1	310	0	0	-1	-1
330	0.06	0.05	0.12	0.01	0.18	330	0.02	0	0	0	0	330	0	-1	-1	-1	-1	330	0	0	-1	-1
350	0.03	0.03	0.07	0	0.11	350	0.02	0	0	0	0	350	0	-1	-1	-1	-1	350	0	0	-1	-1
370	0.02	0.02	0.05	0	0.07	370	0.01	0	0	0	0	370	0	-1	-1	-1	-1	370	0	0	-1	-1
390	0.01	0.01	0.03	0	0.05	390	0.01	0	0	0	0	390	0	-1	-1	-1	-1	390	0	0	-1	-1
410	0	0.01	0.02	0	0.03	410	0	0	0	0	0	410	0	-1	-1	-1	-1	410	0	0	-1	-1
