           eV         A/W                %
        50.5714    1.73313E-05        514.900
        52.7234    1.71633E-05        368.500
        55.0667    1.67740E-05        278.900
        57.6279    1.85788E-05        178.100
        60.4390    3.57996E-05        64.6000
        63.5385    8.24557E-05        21.5000
        66.9730    0.000204445        7.50000
        70.8000    0.000527241        3.20000
        74.6385    0.000231631        6.50000
        79.4231    0.000500222        2.50000
        84.8630    0.000242125        3.20000
        91.1029    8.80724E-05        5.10000
        98.3333    4.96285E-05        6.20000
        106.810    0.000170423        2.10000
        116.887    9.96709E-05        19.7000
        123.900    0.000113473        12.9000
        130.421    0.000175125        9.50000
        137.667    0.000371109        5.80000
        149.277    0.000472311        5.70000
        158.846    0.000518426        7.20000
        169.726    0.000895967        5.30000
        182.206     0.00223072        3.30000
        196.667     0.00363456        4.50000
        213.621     0.00553948        7.00000
        233.774      0.0102683        6.70000
        247.800      0.0142981        6.10000
        250.000      0.0145132        1.70000
        260.000      0.0177465        1.40000
        270.000      0.0213844        1.10000
        280.000      0.0255927        1.00000
        310.000      0.0381282       0.900000
        330.000      0.0487270       0.900000
        350.000      0.0605672       0.900000
        370.000      0.0719385       0.900000
        390.000      0.0829566       0.800000
        410.000      0.0946195       0.800000
        430.000       0.105753       0.800000
        450.000       0.116389       0.800000
        490.000       0.135602       0.800000
        530.000       0.152488       0.800000
        570.000       0.152344       0.800000
        610.000      0.0718516       0.800000
        650.000      0.0830483       0.800000
        690.000      0.0923421       0.800000
        720.000      0.0956623       0.800000
        760.000       0.106035       0.900000
        800.000       0.117432       0.900000
        840.000       0.123852       0.900000
        880.000       0.133594       0.900000
        920.000       0.140014       0.900000
        1000.00       0.151872        1.30000
        1100.00       0.158949        1.40000
        1200.00       0.159681        1.50000
        1300.00       0.155460        1.60000
        1400.00       0.147928        1.80000
        1500.00       0.138395        1.90000

