           eV         A/W                %
        50.5714   -3.44425E-06        2590.80
        52.7234    9.01870E-06        701.300
        55.0667    4.63491E-05        101.000
        57.6279    6.97758E-05        47.5000
        60.4390    7.50400E-05        30.9000
        63.5385    9.67274E-05        18.4000
        66.9730    0.000167089        9.10000
        70.8000    0.000333749        4.80000
        74.6385    0.000129464        11.4000
        79.4231    0.000249141        4.40000
        84.8630    0.000136589        5.30000
        91.1029    6.05926E-05        7.30000
        98.3333    3.13586E-05        9.60000
        106.810    0.000120644        2.60000
        116.887    9.33218E-05        20.8000
        123.900    0.000111200        13.0000
        130.421    0.000170059        9.60000
        137.667    0.000343579        6.00000
        149.277    0.000425261        6.40000
        158.846    0.000511348        7.30000
        169.726    0.000900700        5.20000
        182.206     0.00223637        3.30000
        196.667     0.00348898        4.70000
        213.621     0.00542555        7.00000
        233.774      0.0101518        6.70000
        247.800      0.0141730        6.00000
        250.000      0.0143730        1.70000
        260.000      0.0173542        1.40000
        270.000      0.0206813        1.20000
        280.000      0.0247385        1.00000
        310.000      0.0380588        1.20000
        330.000      0.0486897       0.900000
        350.000      0.0598770       0.900000
        370.000      0.0711688       0.900000
        390.000      0.0823783       0.800000
        410.000      0.0938943       0.800000
        430.000       0.104552       0.800000
        450.000       0.114875       0.800000
        490.000       0.134110       0.800000
        530.000       0.150973       0.800000
        570.000       0.159796       0.800000
        610.000       0.172123       0.800000
        650.000      0.0807653       0.800000
        690.000      0.0924778       0.800000
        720.000       0.100342       0.800000
        760.000       0.105377       0.900000
        800.000       0.108608       0.900000
        840.000       0.117601       0.900000
        880.000       0.124787       0.900000
        920.000       0.131289       0.900000
        1000.00       0.141762        1.30000
        1100.00       0.147836        1.40000
        1200.00       0.147846        1.50000
        1300.00       0.143269        1.60000
        1400.00       0.135516        1.80000
        1500.00       0.126216        1.90000

