; data for Al/Mn #6
;
; point Nr.    energy    current         ring current
;               eV         A              mA
23 lines
4 columns
     0       50.000   1.8051e-11       729.99
     1       51.000   2.0297e-11       729.79
     2       52.000   2.3079e-11       729.62
     3       53.000   2.5866e-11       729.47
     4       54.000   2.7762e-11       729.32
     5       55.000   2.9234e-11       729.17
     6       56.000   3.1219e-11       729.01
     7       57.000   3.3887e-11       728.85
     8       58.000   3.7163e-11       728.70
     9       59.000   4.0792e-11       728.56
    10       60.000   4.4812e-11       728.32
    11       61.000   4.8044e-11       728.08
    12       62.000   5.0367e-11       727.84
    13       63.000   5.0808e-11       727.61
    14       64.000   4.9936e-11       727.37
    15       65.000   4.8024e-11       727.12
    16       66.000   4.5135e-11       726.87
    17       67.000   4.0930e-11       726.64
    18       68.000   3.5278e-11       726.40
    19       69.000   2.8476e-11       726.17
    20       70.000   1.9467e-11       725.93
    21       71.000   7.5151e-12       725.69
    22       72.000  -7.2366e-12       725.44
