           eV         A/W                %
        50.5714    8.41353E-05        106.100
        52.7234    0.000309554        20.5000
        55.0667    0.000832468        5.90000
        57.6279     0.00210256        2.30000
        60.4390     0.00505843        1.70000
        63.5385     0.00981779        1.60000
        66.9730      0.0163318        1.50000
        70.8000      0.0247985        1.50000
        74.6385    0.000449206        3.60000
        79.4231    0.000502589        2.50000
        84.8630    3.22699E-05        21.8000
        91.1029    3.94788E-06        108.300
        98.3333    2.92918E-06        91.1000
        106.810    6.39014E-06        26.9000
        116.887    5.49528E-06        54.9000
        123.900    7.75265E-06        26.9000
        130.421    1.00070E-05        19.0000
        137.667    1.48659E-05        16.2000
        149.277    1.43207E-05        19.3000
        158.846    1.59166E-05        25.9000
        169.726    4.11361E-05        15.8000
        182.206    0.000168713        6.60000
        196.667    0.000327835        9.60000
        213.621    0.000554117        17.8000
        233.774     0.00121176        18.2000
        247.800     0.00145062        22.5000
        250.000     0.00143100        5.50000
        260.000     0.00174630        5.00000
        270.000     0.00207704        3.70000
        280.000     0.00266784        2.90000
        310.000     0.00292202        7.80000
        330.000     0.00531519        2.10000
        350.000     0.00789364        1.60000
        370.000     0.00994175        1.30000
        390.000      0.0133982        1.10000
        410.000      0.0176993       0.900000
        430.000      0.0229608       0.900000
        450.000      0.0282491       0.800000
        490.000      0.0386167        1.00000
        530.000      0.0519934       0.800000
        570.000      0.0628318       0.800000
        610.000      0.0769310       0.800000
        650.000      0.0910248       0.800000
        690.000       0.103945       0.800000
        720.000       0.114613       0.800000
        760.000       0.125967       0.900000
        800.000       0.136381       0.900000
        840.000       0.145615       0.900000
        880.000       0.153195       0.900000
        920.000       0.158865       0.900000
        1000.00       0.167449        1.30000
        1100.00       0.172119        1.40000
        1200.00       0.170697        1.50000
        1300.00       0.164048        1.60000
        1400.00       0.154696        1.80000
        1500.00       0.143746        1.90000

