           eV         A/W                %
        50.5714      0.0113147        2.00000
        52.7234      0.0200121        1.80000
        55.0667      0.0298143        1.80000
        57.6279      0.0403237        1.70000
        60.4390      0.0506480        1.70000
        63.5385      0.0596042        1.60000
        66.9730      0.0666418        1.50000
        70.8000      0.0728387        1.50000
        74.6385      0.0117277        1.40000
        79.4231      0.0115041        1.30000
        84.8630     0.00328475        1.30000
        91.1029    0.000894575        1.30000
        98.3333    0.000241800        2.90000
        106.810     0.00153935        1.50000
        116.887    0.000907215        7.00000
        123.900    0.000847861        5.10000
        130.421     0.00140214        3.60000
        137.667     0.00295337        2.30000
        149.277     0.00403659        1.50000
        158.846     0.00398271        1.80000
        169.726     0.00626910        1.60000
        182.206      0.0116684        1.30000
        196.667      0.0154226        1.70000
        213.621      0.0201767        2.00000
        233.774      0.0336799        1.90000
        247.800      0.0415351        1.90000
        250.000      0.0424411        1.00000
        260.000      0.0480899        1.00000
        270.000      0.0541131        1.00000
        280.000      0.0615933       0.900000
        310.000      0.0483594        1.20000
        330.000      0.0655193       0.900000
        350.000      0.0795536       0.900000
        370.000      0.0907819       0.900000
        390.000       0.102705       0.800000
        410.000      0.0529856       0.800000
        430.000      0.0954009       0.800000
        450.000       0.104188       0.800000
        490.000       0.120497       0.800000
        530.000       0.134078       0.800000
        570.000       0.144807       0.800000
        610.000       0.159644       0.800000
        650.000       0.172342       0.800000
        690.000       0.183091       0.800000
        720.000       0.191106       0.800000
        760.000       0.198876       0.900000
        800.000       0.205755       0.900000
        840.000       0.211139       0.900000
        880.000       0.215191       0.900000
        920.000       0.217956       0.900000
        1000.00       0.220542        1.30000
        1100.00       0.217393        1.40000
        1200.00       0.208962        1.50000
        1300.00       0.196598        1.60000
        1400.00       0.182087        1.80000
        1500.00       0.166616        1.90000

