;spatial scan for Al/C#4
;
; point Nr.    position   current        storage ring current (for nomalization)
;               mm         A              mA
21 lines
4 columns
     0       244.00   5.8987e-10       764.99
     1       244.50   6.0985e-10       764.66
     2       245.00   3.4898e-10       764.41
     3       245.50  -2.6668e-10       764.15
     4       246.00  -5.6713e-10       763.89
     5       246.50  -5.9932e-10       763.63
     6       247.00  -6.0151e-10       763.37
     7       247.50  -6.0429e-10       763.11
     8       248.00  -6.0842e-10       762.84
     9       248.50  -6.1321e-10       762.58
    10       249.00  -6.1796e-10       762.32
    11       249.50  -6.2245e-10       762.06
    12       250.00  -6.2449e-10       761.80
    13       250.50  -6.3340e-10       761.53
    14       251.00  -6.4028e-10       761.27
    15       251.50  -6.4506e-10       761.01
    16       252.00  -5.9490e-10       760.75
    17       252.50  -2.7762e-11       760.49
    18       253.00   5.6008e-10       760.23
    19       253.50   6.4126e-10       759.94
    20       254.00   5.9812e-10       759.68
