           eV         A/W                %
        50.5714   -1.50867E-05        592.000
        52.7234   -3.12608E-06        2024.40
        55.0667    3.70428E-05        126.400
        57.6279    0.000248348        13.4000
        60.4390    0.000960849        2.90000
        63.5385     0.00256417        1.70000
        66.9730     0.00556860        1.60000
        70.8000      0.0105499        1.50000
        74.6385      0.0166086        1.40000
        79.4231      0.0239989        1.30000
        84.8630      0.0316226        1.20000
        91.1029      0.0407916        1.10000
        98.3333      0.0496123        1.00000
        106.810      0.0149636        1.50000
        116.887     0.00691858        1.40000
        123.900     0.00467625        1.40000
        130.421     0.00443582        1.30000
        137.667     0.00611209        1.30000
        149.277     0.00791067        1.30000
        158.846     0.00788014        1.20000
        169.726     0.00939836        1.20000
        182.206      0.0128739        1.10000
        196.667      0.0116900        1.00000
        213.621     0.00337341        1.20000
        233.774     0.00248495        2.90000
        247.800     0.00188899        6.60000
        250.000     0.00177063        1.90000
        260.000     0.00184167        2.90000
        270.000     0.00195749        2.50000
        280.000     0.00214777        2.70000
        310.000     0.00248156        4.40000
        330.000     0.00215805        2.60000
        350.000     0.00281376        2.30000
        370.000     0.00422987        1.70000
        390.000     0.00544041        1.40000
        410.000     0.00701872        1.10000
        430.000     0.00862720        1.00000
        450.000      0.0100809       0.900000
        490.000      0.0147052        2.00000
        530.000      0.0210246        1.30000
        570.000      0.0244596        1.10000
        610.000      0.0332342       0.800000
        650.000      0.0430299       0.800000
        690.000      0.0532424       0.800000
        720.000      0.0622870       0.800000
        760.000      0.0731474       0.900000
        800.000      0.0840172       0.900000
        840.000      0.0946354       0.900000
        880.000       0.104862       0.900000
        920.000       0.114274       0.900000
        1000.00       0.131960        1.30000
        1100.00       0.148652        1.40000
        1200.00       0.159343        1.50000
        1300.00       0.164098        1.60000
        1400.00       0.163952        1.80000
        1500.00       0.160345        1.90000

