           eV         A/W                %
        50.5714   -1.12364E-06        7941.50
        52.7234   -1.00641E-05        628.500
        55.0667   -1.36385E-05        343.000
        57.6279   -1.42876E-05        231.600
        60.4390   -1.55640E-05        148.600
        63.5385   -1.40884E-05        125.600
        66.9730    6.73752E-06        222.400
        70.8000    8.30891E-05        18.2000
        74.6385    0.000186140        8.00000
        79.4231    0.000262511        4.20000
        84.8630    0.000332960        2.50000
        91.1029    0.000483485        1.50000
        98.3333    0.000692224        1.10000
        106.810    0.000486833        1.70000
        116.887    0.000530117        5.00000
        123.900    0.000611442        3.40000
        130.421    0.000731401        3.60000
        137.667     0.00109932        3.00000
        149.277     0.00162851        1.80000
        158.846     0.00196224        2.00000
        169.726     0.00251758        2.10000
        182.206     0.00439230        1.80000
        196.667     0.00687882        2.40000
        213.621      0.0103233        3.70000
        233.774      0.0145026        1.20000
        247.800      0.0201322        1.20000
        250.000      0.0215168        1.00000
        260.000      0.0253567        1.00000
        270.000      0.0290098        1.00000
        280.000      0.0327264       0.900000
        310.000      0.0289466       0.900000
        330.000      0.0404662       0.900000
        350.000      0.0508100       0.900000
        370.000      0.0598558       0.900000
        390.000      0.0702342       0.800000
        410.000      0.0799361       0.800000
        430.000      0.0912294       0.800000
        450.000      0.0973789       0.800000
        490.000     0.00283522        5.50000
        530.000     0.00407612        3.70000
        570.000     0.00481781        2.80000
        610.000     0.00681437        1.20000
        650.000      0.0100944       0.900000
        690.000      0.0156320       0.800000
        720.000      0.0202250       0.800000
        760.000      0.0272933       0.900000
        800.000      0.0345418       0.900000
        840.000      0.0428182       0.900000
        880.000      0.0506770       0.900000
        920.000      0.0588263       0.900000
        1000.00      0.0745586        1.30000
        1100.00      0.0909461        1.40000
        1200.00       0.102430        1.50000
        1300.00       0.108756        1.60000
        1400.00       0.110857        1.80000
        1500.00       0.109265        1.90000

