           eV         A/W                %
        50.5714    8.98950E-06        992.700
        52.7234   -1.21531E-06        5204.70
        55.0667   -2.65848E-06        1760.00
        57.6279   -3.86741E-07        8556.90
        60.4390    2.78746E-06        830.000
        63.5385    1.25902E-06        1405.90
        66.9730    2.60755E-06        574.800
        70.8000    6.31415E-07        2405.40
        74.6385    8.00699E-06        199.300
        79.4231    2.63587E-05        44.6000
        84.8630    0.000106070        8.30000
        91.1029    0.000812726        1.50000
        98.3333     0.00451886        1.00000
        106.810     0.00580026        1.50000
        116.887     0.00683220        1.50000
        123.900     0.00694292        1.40000
        130.421     0.00736359        1.40000
        137.667     0.00948774        1.40000
        149.277      0.0106778        1.30000
        158.846      0.0111777        1.30000
        169.726      0.0114820        1.30000
        182.206      0.0160042        1.20000
        196.667      0.0194845        1.00000
        213.621      0.0234280        1.00000
        233.774      0.0290460        1.10000
        247.800      0.0359853        1.20000
        250.000      0.0373219        1.00000
        260.000      0.0411093        1.00000
        270.000      0.0448595        1.00000
        280.000      0.0487376       0.900000
        310.000      0.0608805       0.900000
        330.000      0.0713628       0.900000
        350.000      0.0739936       0.900000
        370.000      0.0659471       0.900000
        390.000      0.0311106       0.800000
        410.000      0.0238970       0.800000
        430.000      0.0238976       0.800000
        450.000      0.0244789       0.800000
        490.000     0.00698760        2.40000
        530.000     0.00916950        1.80000
        570.000     0.00930465        1.60000
        610.000      0.0123331       0.900000
        650.000      0.0168686       0.800000
        690.000      0.0215079       0.800000
        720.000      0.0266688       0.800000
        760.000      0.0338430       0.900000
        800.000      0.0403901       0.900000
        840.000      0.0487636       0.900000
        880.000      0.0559228       0.900000
        920.000      0.0631870       0.900000
        1000.00      0.0775505        1.30000
        1100.00      0.0922059        1.40000
        1200.00       0.102271        1.50000
        1300.00       0.107681        1.60000
        1400.00       0.108980        1.80000
        1500.00       0.107317        1.90000

