           eV         A/W                %
        50.5714    8.25481E-06        1081.00
        52.7234    4.82168E-06        1311.80
        55.0667   -1.77890E-06        2630.00
        57.6279    3.96218E-07        8351.90
        60.4390    2.96623E-07        7799.30
        63.5385   -1.01271E-07        17478.4
        66.9730    8.17822E-07        1832.80
        70.8000    3.72624E-06        407.900
        74.6385    9.84154E-06        164.500
        79.4231    2.81249E-05        42.2000
        84.8630    6.25091E-05        13.6000
        91.1029    0.000299209        2.20000
        98.3333     0.00134417        1.00000
        106.810     0.00232842        1.50000
        116.887     0.00414187        1.40000
        123.900     0.00581685        1.40000
        130.421     0.00749534        1.40000
        137.667     0.00986185        1.30000
        149.277      0.0117607        1.30000
        158.846      0.0117236        1.20000
        169.726      0.0105377        1.20000
        182.206     0.00907684        1.10000
        196.667     0.00546436        1.00000
        213.621     0.00146652        1.00000
        233.774    0.000700009        1.20000
        247.800    0.000459575        3.50000
        250.000    0.000453004        1.30000
        260.000    0.000421115        10.0000
        270.000    0.000408208        9.40000
        280.000    0.000425704        11.7000
        310.000    0.000427818        8.60000
        330.000    0.000365645        5.60000
        350.000    0.000411561        4.30000
        370.000    0.000537345        3.30000
        390.000    0.000675891        2.70000
        410.000    0.000911646        2.10000
        430.000     0.00113847        1.70000
        450.000     0.00139957        1.30000
        490.000     0.00186108        6.10000
        530.000     0.00297625        3.80000
        570.000     0.00402519        2.60000
        610.000     0.00598135        1.10000
        650.000     0.00844968       0.900000
        690.000      0.0117191       0.800000
        720.000      0.0150731       0.800000
        760.000      0.0192381       0.900000
        800.000      0.0237898       0.900000
        840.000      0.0290791       0.900000
        880.000      0.0347976       0.900000
        920.000      0.0404681       0.900000
        1000.00      0.0523374        1.30000
        1100.00      0.0655121        1.40000
        1200.00      0.0759608        1.50000
        1300.00      0.0829737        1.60000
        1400.00      0.0868573        1.80000
        1500.00      0.0876059        1.90000

