! This is the file COMPOUND.DAT for HENKE.  Entries are:
! compound	formula					density (g/cc)
water		H2O					1.0
protein		H48.6C32.9N8.9O8.9S0.6			1.35
lipid		H62.5C31.5O6.3				1.0
nucleosome	H42.1C31.9N10.3O13.9P1.6S0.3		1.5
dna		H35.5C30.8N11.7O18.9P3.1		1.7
helium		He					0.1663e-3
chromatin	H49.95C24.64N8.66O15.57P1.07S0.03	1.527
air		N78.08O20.95Ar0.93			1.2047e-3
pmma		C5H8O2					1.18
nitride		Si3N4					3.44
graphite	C					2.26
nickel		Ni					8.876
beryl		Be					1.845
copper		Cu					8.96
quartz		SiO2					2.20
aluminum	Al					2.70
gold		Au					19.3
ice		H2O					0.92
carbon		C					1.0
polystyrene	C8H8					1.06
