 301 lines :  Sn/SiO filter transmission:  100 nm Sn and 15 nm SiO protective layer : Corrected above 50 nm
 2 columns : Wavelength (Angstrom),  Transmission
     0.413233     0.997069
     0.424409     0.997064
     0.435885     0.999450
     0.447674     0.999409
     0.459795     0.999364
     0.472231     0.999316
     0.484997     0.999264
     0.498112     0.999208
     0.511596     0.999147
     0.525430     0.999082
     0.539634     0.999012
     0.554229     0.998936
     0.569218     0.998855
     0.584626     0.998767
     0.600426     0.998672
     0.616674     0.998570
     0.633340     0.998460
     0.650488     0.998342
     0.668086     0.998214
     0.686130     0.998076
     0.704695     0.997928
     0.723743     0.997769
     0.743315     0.997597
     0.763456     0.997412
     0.784074     0.997212
     0.805314     0.996998
     0.827073     0.996767
     0.849459     0.996518
     0.872414     0.996250
     0.895996     0.995962
     0.920273     0.995652
     0.945109     0.995319
     0.970715     0.994960
     0.996944     0.994574
      1.02395     0.994158
      1.05166     0.993712
      1.08007     0.993233
      1.10925     0.992718
      1.13933     0.992164
      1.17008     0.991570
      1.20173     0.990932
      1.23427     0.990239
      1.26763     0.989495
      1.30192     0.988705
      1.33712     0.987858
      1.37329     0.986950
      1.41043     0.985977
      1.44859     0.984934
      1.48777     0.983818
      1.52800     0.982624
      1.56934     0.981346
      1.61178     0.979979
      1.65538     0.978518
      1.70015     0.976958
      1.74613     0.975293
      1.79337     0.973516
      1.84186     0.971622
      1.89169     0.969602
      1.94286     0.967453
      1.99540     0.965166
      2.04936     0.962734
      2.10479     0.960152
      2.16171     0.957410
      2.22021     0.954504
      2.28024     0.951425
      2.34193     0.948171
      2.40527     0.944729
      2.47031     0.941097
      2.53715     0.937265
      2.60573     0.933235
      2.67621     0.929004
      2.74860     0.924558
      2.82295     0.928254
      2.89934     0.923409
      2.97776     0.918242
      3.05827     0.935378
      3.14103     0.930905
      3.22595     0.975806
      3.31320     0.973951
      3.40278     0.971979
      3.49487     0.969881
      3.58938     0.967654
      3.68640     0.965289
      3.78615     0.962777
      3.88852     0.960110
      3.99375     0.957282
      4.10171     0.954283
      4.21265     0.951102
      4.32660     0.947732
      4.44369     0.944162
      4.56393     0.940382
      4.68731     0.936383
      4.81399     0.932152
      4.94436     0.927678
      5.07803     0.922950
      5.21540     0.917955
      5.35646     0.912683
      5.50122     0.907124
      5.65015     0.901257
      5.80302     0.895071
      5.95981     0.888563
      6.12107     0.881743
      6.28651     0.874643
      6.45677     0.867117
      6.63118     0.859180
      6.81079     0.856482
      6.99487     0.847964
      7.18417     0.839064
      7.37829     0.829875
      7.57809     0.820221
      7.78266     0.810088
      7.99342     0.799440
      8.20939     0.788291
      8.43161     0.776549
      8.65954     0.764235
      8.89375     0.751346
      9.13425     0.737868
      9.38172     0.723801
      9.63547     0.709139
      9.89622     0.693873
      10.1631     0.678009
      10.4387     0.661495
      10.7203     0.644402
      11.0107     0.626683
      11.3080     0.608401
      11.6142     0.589521
      11.9282     0.570123
      12.2512     0.550658
      12.5825     0.524052
      12.9228     0.500394
      13.2723     0.486157
      13.6313     0.471761
      14.0000     0.456179
      14.3787     0.438892
      14.7677     0.421432
      15.1669     0.405192
      15.5773     0.389904
      15.9986     0.374901
      16.4312     0.365642
      16.8756     0.370149
      17.3322     0.391031
      17.8010     0.390510
      18.2825     0.373350
      18.7768     0.360120
      19.2847     0.346628
      19.8064     0.331624
      20.3420     0.316635
      20.8922     0.306900
      21.4574     0.299523
      22.0375     0.297116
      22.6338     0.305134
      23.2458     0.338335
      23.8748     0.422471
      24.5204     0.558228
      25.1833     0.672081
      25.8648     0.711057
      26.5642     0.716811
      27.2827     0.717739
      28.0209     0.712934
