 301 lines : Filter transmission for Al/Mg/Sc with 200/2000/200 Angstroms
 2 columns : Wavelength (Angstrom),  Transmission (unitless)
     0.413233     0.999947
     0.424409     0.999943
     0.435885     0.999938
     0.447674     0.999932
     0.459795     0.999927
     0.472231     0.999920
     0.484997     0.999914
     0.498112     0.999906
     0.511596     0.999898
     0.525430     0.999890
     0.539634     0.999880
     0.554229     0.999870
     0.569218     0.999859
     0.584626     0.999847
     0.600426     0.999834
     0.616674     0.999820
     0.633340     0.999805
     0.650488     0.999789
     0.668086     0.999771
     0.686130     0.999752
     0.704695     0.999731
     0.723743     0.999709
     0.743315     0.999684
     0.763456     0.999658
     0.784074     0.999630
     0.805314     0.999599
     0.827073     0.999565
     0.849459     0.999529
     0.872414     0.999490
     0.895996     0.999448
     0.920273     0.999403
     0.945109     0.999354
     0.970715     0.999301
     0.996944     0.999243
      1.02395     0.999181
      1.05166     0.999114
      1.08007     0.999042
      1.10925     0.998964
      1.13933     0.998879
      1.17008     0.998788
      1.20173     0.998690
      1.23427     0.998575
      1.26763     0.998449
      1.30192     0.998324
      1.33712     0.998189
      1.37329     0.998043
      1.41043     0.997886
      1.44859     0.997717
      1.48777     0.997534
      1.52800     0.997337
      1.56934     0.997125
      1.61178     0.996897
      1.65538     0.996650
      1.70015     0.996386
      1.74613     0.996100
      1.79337     0.995793
      1.84186     0.995463
      1.89169     0.995108
      1.94286     0.994726
      1.99540     0.994315
      2.04936     0.993873
      2.10479     0.993399
      2.16171     0.992890
      2.22021     0.992343
      2.28024     0.991756
      2.34193     0.991126
      2.40527     0.990451
      2.47031     0.989728
      2.53715     0.988952
      2.60573     0.988122
      2.67621     0.987234
      2.74860     0.986283
      2.82295     0.989986
      2.89934     0.989194
      2.97776     0.988341
      3.05827     0.987424
      3.14103     0.986437
      3.22595     0.985376
      3.31320     0.984235
      3.40278     0.983009
      3.49487     0.981691
      3.58938     0.980276
      3.68640     0.978757
      3.78615     0.977127
      3.88852     0.975378
      3.99375     0.973500
      4.10171     0.971491
      4.21265     0.969335
      4.32660     0.967027
      4.44369     0.964558
      4.56393     0.961914
      4.68731     0.959087
      4.81399     0.956071
      4.94436     0.952844
      5.07803     0.949401
      5.21540     0.945730
      5.35646     0.941818
      5.50122     0.937653
      5.65015     0.933219
      5.80302     0.928503
      5.95981     0.923499
      6.12107     0.918213
      6.28651     0.912683
      6.45677     0.906772
      6.63118     0.900489
      6.81079     0.893800
      6.99487     0.886706
      7.18417     0.879253
      7.37829     0.871611
      7.57809     0.863513
      7.78266     0.854960
      7.99342     0.863750
      8.20939     0.855127
      8.43161     0.846007
      8.65954     0.836373
      8.89375     0.826193
      9.13425     0.815457
      9.38172     0.804131
      9.63547     0.965014
      9.89622     0.962508
      10.1631     0.959828
      10.4387     0.956953
      10.7203     0.953884
      11.0107     0.950596
      11.3080     0.947084
      11.6142     0.943324
      11.9282     0.939314
      12.2512     0.935074
      12.5825     0.930818
      12.9228     0.926291
      13.2723     0.921016
      13.6313     0.915476
      14.0000     0.909551
      14.3787     0.903245
      14.7677     0.896575
      15.1669     0.889461
      15.5773     0.881911
      15.9986     0.873922
      16.4312     0.865494
      16.8756     0.856628
      17.3322     0.847219
      17.8010     0.837521
      18.2825     0.827440
      18.7768     0.816326
      19.2847     0.804476
      19.8064     0.792259
      20.3420     0.779606
      20.8922     0.766273
      21.4574     0.752337
      22.0375     0.737684
      22.6338     0.722528
      23.2458     0.706778
      23.8748     0.690096
      24.5204     0.672559
      25.1833     0.666845
      25.8648     0.649053
      26.5642     0.630635
      27.2827     0.611635
      28.0209     0.592241
      28.7787     0.572579
      29.5568     0.552504
      30.3565     0.531981
      31.1772     0.623182
      32.0204     0.603481
      32.8868     0.583251
      33.7765     0.562481
      34.6895     0.541187
      35.6277     0.519222
      36.5920     0.496889
      37.5815     0.474272
      38.5983     0.451401
      39.6425     0.428405
      40.7140     0.405357
      41.8154     0.382322
      42.9467     0.359417
      44.1080     0.336741
      45.3007     0.314415
      46.5266     0.292709
      47.7837     0.272094
      49.0776     0.252083
      50.4046     0.232716
      51.7685     0.214070
      53.1672     0.196163
      54.6051     0.179069
      56.0823     0.162642
      57.5989     0.146950
      59.1573     0.132176
      60.7577     0.118424
      62.4000     0.105633
      64.0904    0.0938150
      65.8224    0.0829610
      67.6028    0.0730468
      69.4315    0.0641621
      71.3086    0.0566520
      73.2380    0.0499186
      75.2199    0.0438406
      77.2543    0.0383833
      79.3408    0.0335012
      81.4895    0.0291502
      83.6900    0.0253743
      85.9590    0.0220692
      88.2789    0.0191620
      90.6677    0.0166000
      93.1195    0.0143580
      95.6411    0.0123983
      98.2252    0.0107014
      100.887   0.00933539
      103.611   0.00824024
      106.412   0.00727199
      109.292   0.00642663
      112.251   0.00568925
      115.289   0.00505361
      118.405   0.00449736
      121.611   0.00402691
      124.894   0.00363108
      128.272   0.00329490
      131.741   0.00300663
      135.304   0.00276327
      138.964   0.00256982
      142.722   0.00241639
      146.583   0.00233309
      150.548   0.00228089
      154.620   0.00254555
      158.802   0.00304176
      163.097   0.00363165
      167.509   0.00393830
      172.040   0.00639491
      176.691   0.00748237
      181.471   0.00867970
