Henke filter constants:  transmission = exp(-thick / constant)
   where  thick is given in Angstroms
Generated by Tom Woods  12/1/93
301 lines of data x 9 columns
Wavelength  Al        C       Sc       Sn       Ti      Al2O3    SiO2      TiO
1239.700 7.61E+01 1.81E+02 4.97E+02 9.71E+01 1.05E+02 1.07E+02 1.44E+02 1.08E+02
1207.108 8.08E+01 1.70E+02 5.08E+02 1.01E+02 1.09E+02 1.13E+02 1.50E+02 1.12E+02
1175.294 8.58E+01 1.60E+02 5.18E+02 1.05E+02 1.12E+02 1.19E+02 1.56E+02 1.15E+02
1144.268 9.11E+01 1.50E+02 5.29E+02 1.10E+02 1.16E+02 1.25E+02 1.63E+02 1.19E+02
1114.137 9.67E+01 1.40E+02 5.40E+02 1.14E+02 1.20E+02 1.32E+02 1.70E+02 1.23E+02
1084.792 1.01E+02 1.30E+02 5.51E+02 1.19E+02 1.23E+02 1.37E+02 1.71E+02 1.26E+02
1056.232 1.06E+02 1.21E+02 5.63E+02 1.27E+02 1.27E+02 1.43E+02 1.71E+02 1.29E+02
1028.455 1.11E+02 1.13E+02 5.74E+02 1.35E+02 1.30E+02 1.48E+02 1.70E+02 1.33E+02
1001.373 1.16E+02 1.06E+02 5.86E+02 1.47E+02 1.34E+02 1.54E+02 1.71E+02 1.36E+02
 974.990 1.22E+02 9.97E+01 5.95E+02 1.63E+02 1.37E+02 1.61E+02 1.73E+02 1.40E+02
 949.307 1.30E+02 9.35E+01 6.01E+02 1.82E+02 1.41E+02 1.69E+02 1.77E+02 1.44E+02
 924.322 1.39E+02 8.80E+01 6.07E+02 2.14E+02 1.45E+02 1.78E+02 1.82E+02 1.47E+02
 899.964 1.52E+02 8.47E+01 6.14E+02 2.57E+02 1.49E+02 1.89E+02 1.87E+02 1.50E+02
 876.299 1.68E+02 8.16E+01 6.22E+02 3.02E+02 1.52E+02 2.01E+02 1.96E+02 1.53E+02
 853.200 2.06E+02 7.87E+01 6.32E+02 3.54E+02 1.56E+02 2.28E+02 2.10E+02 1.56E+02
