;  Henke constants used in calculating transmissions
;	Transmission = exp( -1. * thickness_in_Angstroms / mu )
;	where "mu" is the Henke constant listed below
;
;	Tom Woods
;	26 May 2005
;
;	NOTE:  XPS responsitivity is calculated using "SiO" as separate item
;	instead of using Si and O separately.
;
FORMAT = (F10.3,6E11.3)
 301 lines : Henke constants from Tom Woods for comparison
 7 columns : Wavelength_Angstrom  mu_Ti   mu_Al  mu_C   mu_Si   mu_SiO   mu_O
  1239.700  1.051E+02  7.612E+01  1.814E+02  9.220E+01  1.250E+02  1.802E+02
  1207.108  1.086E+02  8.081E+01  1.703E+02  9.683E+01  1.306E+02  1.840E+02
  1175.294  1.122E+02  8.581E+01  1.600E+02  1.017E+02  1.365E+02  1.889E+02
  1144.268  1.160E+02  9.111E+01  1.500E+02  1.068E+02  1.428E+02  1.940E+02
  1114.137  1.198E+02  9.666E+01  1.397E+02  1.122E+02  1.493E+02  1.992E+02
  1084.792  1.232E+02  1.012E+02  1.301E+02  1.119E+02  1.497E+02  2.045E+02
  1056.232  1.266E+02  1.059E+02  1.212E+02  1.108E+02  1.493E+02  2.099E+02
  1028.455  1.301E+02  1.108E+02  1.131E+02  1.091E+02  1.480E+02  2.147E+02
  1001.373  1.337E+02  1.160E+02  1.062E+02  1.087E+02  1.482E+02  2.193E+02
   974.990  1.374E+02  1.223E+02  9.967E+01  1.095E+02  1.497E+02  2.241E+02
   949.307  1.412E+02  1.303E+02  9.355E+01  1.122E+02  1.532E+02  2.289E+02
   924.322  1.451E+02  1.393E+02  8.800E+01  1.156E+02  1.577E+02  2.337E+02
   899.964  1.487E+02  1.518E+02  8.474E+01  1.203E+02  1.630E+02  2.342E+02
   876.299  1.524E+02  1.679E+02  8.160E+01  1.285E+02  1.718E+02  2.338E+02
   853.200  1.562E+02  2.064E+02  7.867E+01  1.426E+02  1.866E+02  2.333E+02
   830.731  1.601E+02  3.848E+02  7.685E+01  1.594E+02  2.023E+02  2.275E+02
   808.834  1.638E+02  7.334E+02  7.550E+01  1.826E+02  2.218E+02  2.191E+02
   787.561  1.675E+02  9.945E+02  7.418E+01  2.059E+02  2.349E+02  1.993E+02
   766.809  1.713E+02  1.137E+03  7.309E+01  2.299E+02  2.407E+02  1.730E+02
