 1240 lines : MEGS A1 responsivity (electrons / photons) : includes Filter transmission & CCD response
 3 columns : Wavelength (nm), A1-Primay Filter (187 Zr/ 65 C),  A1-Second Order Filter (116 Zr/ 133 Si/ 87 C)
    0.0500000      14.9076      14.9348
     0.150000      128.946      129.446
     0.250000      289.512      293.833
     0.350000      392.400      406.314
     0.450000      395.729      421.837
     0.550000      385.496      401.866
     0.650000      411.771      389.629
     0.750000      130.739      136.772
     0.850000      142.045      150.804
     0.950000      143.790      155.276
      1.05000      140.223      154.324
      1.15000      132.354      148.741
      1.25000      119.870      137.226
      1.35000      105.463      124.227
      1.45000      88.6151      108.611
      1.55000      74.1754      93.8604
      1.65000      61.1435      79.6959
      1.75000      50.3802      67.7853
      1.85000      41.2123      57.3591
      1.95000      33.3374      48.0152
      2.05000      27.3056      40.3510
      2.15000      22.2188      33.6424
      2.25000      18.1314      28.1111
      2.35000      15.1257      23.9485
      2.45000      12.7795      20.4383
      2.55000      10.8480      17.4670
      2.65000      9.15668      14.8280
      2.75000      7.75591      12.6175
      2.85000      6.53444      10.7000
      2.95000      5.45966      8.99911
      3.05000      4.68878      7.68174
      3.15000      4.02893      6.54196
      3.25000      3.48229      5.58412
      3.35000      3.06265      4.81736
      3.45000      2.72382      4.17549
      3.55000      2.42589      3.61276
      3.65000      2.16746      3.12384
      3.75000      1.94517      2.70545
      3.85000      1.76753      2.35821
      3.95000      1.64545      2.08148
      4.05000      1.53411      1.83432
      4.15000      1.44524      1.62251
      4.25000      1.37047      1.44234
      4.35000      1.84751      2.06845
      4.45000      2.38800      2.75944
      4.55000      2.34095      2.55730
      4.65000      2.29556      2.36635
      4.75000      2.30380      2.22446
      4.85000      2.34452      2.10776
      4.95000      2.39006      1.99718
      5.05000      2.42424      1.88169
      5.15000      2.44753      1.76282
      5.25000      2.52061      1.66843
      5.35000      2.62728      1.58911
      5.45000      2.76466      1.52202
      5.55000      2.97184      1.47325
      5.65000      3.27109      1.44393
      5.75000      3.68725      1.43873
      5.85000      4.26858      1.45204
      5.95000      4.98973      1.47768
      6.05000      5.94428      1.52306
      6.15000      7.32484      1.58996
      6.25000      8.85248      1.65783
      6.35000      10.3728      1.66733
      6.45000      11.8262      1.65381
      6.55000      13.1833      1.60709
      6.65000      14.0865      1.51981
      6.75000      14.7737      1.41322
      6.85000      14.8882      1.31007
      6.95000      14.9245      1.20871
      7.05000      14.7892      1.12632
      7.15000      14.6189      1.04744
      7.25000      14.3012     0.983371
      7.35000      14.0627     0.934923
      7.45000      14.0470     0.930479
      7.55000      13.9995     0.926060
      7.65000      13.8699     0.921710
      7.75000      13.7487     0.917348
      7.85000      13.6530     0.912950
      7.95000      13.5639     0.908275
      8.05000      13.5092     0.902135
      8.15000      13.4543     0.895537
      8.25000      13.3687     0.845782
      8.35000      13.2831     0.796027
      8.45000      13.1765     0.747088
      8.55000      13.0650     0.698339
      8.65000      12.9313     0.652216
      8.75000      12.7787     0.608320
      8.85000      12.6225     0.569852
      8.95000      12.4536     0.550498
      9.05000      12.2847     0.531144
      9.15000      12.0578     0.517868
      9.25000      11.8191     0.505818
      9.35000      11.5957     0.501988
      9.45000      11.3970     0.511539
      9.55000      11.1983     0.521090
      9.65000      11.0577     0.535720
      9.75000      10.9266     0.551184
      9.85000      10.7986     0.572296
      9.95000      10.6786     0.608311
      10.0500      10.5586     0.644326
      10.1500      10.4452     0.701828
      10.2500      10.3358     0.772899
      10.3500      10.2264     0.843970
      10.4500      10.1206     0.927873
      10.5500      10.0153      1.01337
      10.6500      9.91083      1.09952
      10.7500      9.81540      1.19240
      10.8500      9.71996      1.28528
      10.9500      9.62185      1.37080
      11.0500      9.51353      1.42824
      11.1500      9.40521      1.48569
      11.2500      9.29455      1.54209
      11.3500      9.17681      1.59534
      11.4500      9.05906      1.64859
      11.5500      8.95227      1.70338
      11.6500      8.88638      1.76394
      11.7500      8.82049      1.82450
      11.8500      8.75563      1.88509
      11.9500      8.70049      1.94591
      12.0500      8.64535      2.00674
      12.1500      8.59021      2.06757
      12.2500      8.52875      2.12480
      12.3500      8.46650      2.18159
      12.4500      8.40425      2.23838
      12.5500      8.37346      3.23976
      12.6500      8.36314      4.85584
      12.7500      8.35282      6.47191
      12.8500      8.31262      7.68442
      12.9500      8.17106      7.52854
      13.0500      8.02950      7.37267
      13.1500      7.88794      7.21679
      13.2500      7.75103      7.07071
      13.3500      7.61560      6.92774
      13.4500      7.48016      6.78477
      13.5500      7.34252      6.64163
      13.6500      7.19576      6.49775
      13.7500      7.04900      6.35386
      13.8500      6.90225      6.20998
      13.9500      6.73908      6.05887
      14.0500      6.56170      5.90150
      14.1500      6.38432      5.74413
      14.2500      6.20693      5.58677
      14.3500      6.03347      5.43436
      14.4500      5.86113      5.28337
      14.5500      5.68879      5.13238
      14.6500      5.51644      4.98139
      14.7500      5.34659      4.83239
      14.8500      5.17696      4.68357
      14.9500      5.00733      4.53476
      15.0500      4.83770      4.38594
      15.1500      4.67321      4.24446
      15.2500      4.50898      4.10335
      15.3500      4.34474      3.96223
      15.4500      4.18051      3.82112
      15.5500      4.03336      3.69832
      15.6500      3.88854      3.57803
      15.7500      3.74373      3.45774
      15.8500      3.59891      3.33746
      15.9500      3.46885      3.23025
      16.0500      3.34514      3.12868
      16.1500      3.22144      3.02712
      16.2500      3.09774      2.92556
      16.3500      2.97802      2.82669
      16.4500      2.86419      2.73180
      16.5500      2.75037      2.63692
      16.6500      2.63655      2.54203
      16.7500      2.52273      2.44715
      16.8500      2.41753      2.35721
      16.9500      2.31240      2.26732
      17.0500      2.20728      2.17742
      17.1500      2.10216      2.08753
      17.2500      1.99872      1.99999
      17.3500      1.89726      1.91521
      17.4500      1.79580      1.83042
      17.5500      1.69435      1.74564
      17.6500      1.59289      1.66086
      17.7500      1.50355      1.58558
      17.8500      1.41707      1.51255
      17.9500      1.33059      1.43952
      18.0500      1.24411      1.36649
      18.1500      1.15814      1.29379
      18.2500      1.08905      1.23194
      18.3500      1.01996      1.17009
      18.4500     0.950865      1.10823
      18.5500     0.881772      1.04638
      18.6500     0.814614     0.985821
      18.7500     0.761507     0.934629
      18.8500     0.708399     0.883438
      18.9500     0.655292     0.832246
      19.0500     0.602185     0.781054
      19.1500     0.550242     0.730725
      19.2500     0.511878     0.690458
      19.3500     0.473514     0.650191
      19.4500     0.435150     0.609924
      19.5500     0.396786     0.569657
      19.6500     0.358422     0.529391
      19.7500     0.331072     0.498029
      19.8500     0.304903     0.467622
      19.9500     0.278733     0.437215
      20.0500     0.252563     0.406808
      20.1500     0.226394     0.376401
      20.2500     0.205771     0.351109
      20.3500     0.189089     0.329452
      20.4500     0.172407     0.307794
      20.5500     0.155726     0.286136
      20.6500     0.139044     0.264479
      20.7500     0.123165     0.243609
      20.8500     0.113007     0.228358
      20.9500     0.102850     0.213106
      21.0500    0.0926927     0.197855
      21.1500    0.0825353     0.182603
      21.2500    0.0723780     0.167352
      21.3500    0.0643904     0.154382
      21.4500    0.0584453     0.143560
      21.5500    0.0525003     0.132737
      21.6500    0.0465552     0.121915
      21.7500    0.0406102     0.111093
      21.8500    0.0346651     0.100270
      21.9500    0.0308510    0.0922601
      22.0500    0.0277327    0.0851680
      22.1500    0.0246144    0.0780759
      22.2500    0.0214962    0.0709839
      22.3500    0.0183779    0.0638918
      22.4500    0.0152596    0.0567997
      22.5500    0.0135407    0.0520914
      22.6500    0.0120897    0.0478394
      22.7500    0.0106386    0.0435874
      22.8500   0.00918760    0.0393354
      22.9500   0.00773657    0.0350834
      23.0500   0.00628554    0.0308314
      23.1500   0.00546741    0.0279492
      23.2500   0.00484980    0.0255011
      23.3500   0.00423218    0.0230530
      23.4500   0.00361456    0.0206049
      23.5500   0.00299695    0.0181568
      23.6500   0.00237933    0.0157086
      23.7500   0.00196405    0.0138721
      23.8500   0.00173699    0.0126044
      23.9500   0.00150993    0.0113367
      24.0500   0.00128288    0.0100691
      24.1500   0.00105582   0.00880139
      24.2500  0.000828767   0.00753373
      24.3500  0.000619090   0.00634173
      24.4500  0.000548073   0.00575345
      24.5500  0.000477056   0.00516517
      24.6500  0.000406038   0.00457690
      24.7500  0.000335021   0.00398862
      24.8500  0.000264004   0.00340034
      24.9500  0.000192987   0.00281207
      25.0500  0.000149494   0.00240497
      25.1500  0.000130884   0.00216169
      25.2500  0.000112275   0.00191840
      25.3500  9.36658e-05   0.00167511
      25.4500  7.50565e-05   0.00143182
      25.5500  5.64473e-05   0.00118854
      25.6500  3.78380e-05  0.000945250
      25.7500  3.03948e-05  0.000820435
      25.8500  2.63965e-05  0.000732172
      25.9500  2.23982e-05  0.000643909
      26.0500  1.84000e-05  0.000555646
