 1240 lines : MEGS A2 responsivity (electrons / photons) : includes Filter transmission & CCD response
 3 columns : Wavelength (nm), A2-Primary Filter (92 Al/ 24 Ge/ 32 C),  A2-Second Order Filter (170 Al/ 283 Mg/ 19 C)
    0.0500000      14.9770      14.9800
     0.150000      130.629      130.382
     0.250000      304.766      302.116
     0.350000      443.967      433.793
     0.450000      498.410      475.492
     0.550000      477.461      440.146
     0.650000      416.091      366.841
     0.750000      132.618      110.674
     0.850000      162.073      139.091
     0.950000      171.964      160.223
      1.05000      193.919      189.239
      1.15000      197.391      191.143
      1.25000      191.613      183.936
      1.35000      186.564      177.334
      1.45000      179.094      168.258
      1.55000      168.360      156.064
      1.65000      155.639      142.118
      1.75000      145.236      130.419
      1.85000      135.695      119.610
      1.95000      125.657      108.430
      2.05000      115.650      97.5494
      2.15000      105.797      87.0542
      2.25000      97.3531      77.9616
      2.35000      91.3433      71.0552
      2.45000      84.4264      63.6451
      2.55000      77.7744      56.7375
      2.65000      71.3548      50.2540
      2.75000      65.6726      44.5726
      2.85000      60.7142      39.6159
      2.95000      56.0825      35.0821
      3.05000      51.6896      30.9483
      3.15000      47.4954      27.1642
      3.25000      43.7097      23.8224
      3.35000      40.3543      20.9051
      3.45000      37.1745      18.2433
      3.55000      34.0899      15.7815
      3.65000      31.1548      13.5676
      3.75000      28.4984      11.6481
      3.85000      26.0821      9.98295
      3.95000      23.8121      8.51731
      4.05000      21.6787      7.23092
      4.15000      19.6814      6.10874
      4.25000      17.8743      5.15060
      4.35000      18.9509      4.71376
      4.45000      20.3174      4.38966
      4.55000      18.6535      3.68714
      4.65000      17.1521      3.09145
      4.75000      16.0157      2.64742
      4.85000      14.9934      2.26828
      4.95000      14.0246      1.93659
      5.05000      13.0724      1.64128
      5.15000      12.1191      1.38796
      5.25000      11.2235      1.17069
      5.35000      10.3826     0.981294
      5.45000      9.60925     0.821267
      5.55000      8.86856     0.687880
      5.65000      8.14734     0.568514
      5.75000      7.44789     0.464333
      5.85000      6.86621     0.385872
      5.95000      6.32293     0.316946
      6.05000      5.82849     0.260896
      6.15000      5.37199     0.215523
      6.25000      4.92945     0.174821
      6.35000      4.49417     0.142810
      6.45000      4.07279     0.114371
      6.55000      3.67145    0.0910801
      6.65000      3.30730    0.0727579
      6.75000      2.96085    0.0568005
      6.85000      2.67840    0.0459685
      6.95000      2.40937    0.0360288
      7.05000      2.22327    0.0302383
