 1240 lines : MEGS B CCD responsivity
 2 columns : Wavelength (nm),  Responsivity (electrons/photon) [no filter]
    0.0500000      14.9820
     0.150000      130.876
     0.250000      307.235
     0.350000      453.187
     0.450000      519.110
     0.550000      511.635
     0.650000      462.474
     0.750000      154.128
     0.850000      177.456
     0.950000      192.266
      1.05000      202.590
      1.15000      208.651
      1.25000      205.267
      1.35000      203.009
      1.45000      198.411
      1.55000      190.254
      1.65000      179.785
      1.75000      171.824
      1.85000      164.606
      1.95000      156.814
      2.05000      148.751
      2.15000      140.564
      2.25000      133.789
      2.35000      130.063
      2.45000      124.862
      2.55000      119.662
      2.65000      114.464
      2.75000      110.062
      2.85000      106.455
      2.95000      102.850
      3.05000      99.2475
      3.15000      95.6560
      3.25000      92.5214
      3.35000      89.8637
      3.45000      87.2075
      3.55000      84.5538
      3.65000      81.9030
      3.75000      79.5757
      3.85000      77.5105
      3.95000      75.4675
      4.05000      73.4267
      4.15000      71.3887
      4.25000      69.5891
      4.35000      67.9398
      4.45000      66.3247
      4.55000      64.7120
      4.65000      63.1022
      4.75000      61.8983
      4.85000      60.8855
      4.95000      59.8818
      5.05000      58.7613
      5.15000      57.3382
      5.25000      55.9330
      5.35000      54.5883
      5.45000      53.3521
      5.55000      52.1196
      5.65000      50.8893
      5.75000      49.6616
      5.85000      48.8376
      5.95000      48.1109
      6.05000      47.4858
      6.15000      46.8613
      6.25000      46.1789
      6.35000      44.9734
      6.45000      43.6394
      6.55000      42.1202
      6.65000      40.6073
      6.75000      39.0974
      6.85000      37.7134
      6.95000      36.3477
      7.05000      35.0337
      7.15000      33.7444
      7.25000      32.5589
      7.35000      31.5768
      7.45000      31.1675
      7.55000      30.7596
      7.65000      30.3555
      7.75000      29.9958
      7.85000      29.7729
      7.95000      29.5656
      8.05000      29.4407
      8.15000      29.3152
      8.25000      29.1299
      8.35000      28.9445
      8.45000      28.7306
      8.55000      28.5100
      8.65000      28.2896
      8.75000      28.0693
      8.85000      27.8403
      8.95000      27.5805
      9.05000      27.3208
      9.15000      26.9175
      9.25000      26.4854
      9.35000      26.0834
      9.45000      25.7305
      9.55000      25.3776
      9.65000      25.1452
      9.75000      24.9326
      9.85000      24.7259
      9.95000      24.5348
      10.0500      24.3436
      10.1500      24.1667
      10.2500      23.9987
      10.3500      23.8308
      10.4500      23.6563
      10.5500      23.4810
      10.6500      23.3049
      10.7500      23.1209
      10.8500      22.9370
      10.9500      22.7473
      11.0500      22.5359
      11.1500      22.3245
      11.2500      22.1116
      11.3500      21.8945
      11.4500      21.6774
      11.5500      21.4889
      11.6500      21.4070
      11.7500      21.3251
      11.8500      21.2468
      11.9500      21.2026
      12.0500      21.1584
      12.1500      21.1143
      12.2500      21.0673
      12.3500      21.0200
      12.4500      20.9726
      12.5500      21.0329
      12.6500      21.1633
      12.7500      21.2936
      12.8500      21.3638
      12.9500      21.2300
      13.0500      21.0962
      13.1500      20.9624
      13.2500      20.8287
      13.3500      20.6950
      13.4500      20.5613
      13.5500      20.4233
      13.6500      20.2678
      13.7500      20.1122
      13.8500      19.9567
      13.9500      19.7985
      14.0500      19.6381
      14.1500      19.4777
      14.2500      19.3173
      14.3500      19.1519
      14.4500      18.9851
      14.5500      18.8183
      14.6500      18.6515
      14.7500      18.4500
      14.8500      18.2455
      14.9500      18.0409
      15.0500      17.8363
      15.1500      17.6326
      15.2500      17.4288
      15.3500      17.2251
      15.4500      17.0214
      15.5500      16.8774
      15.6500      16.7416
      15.7500      16.6058
      15.8500      16.4700
      15.9500      16.3578
      16.0500      16.2557
      16.1500      16.1535
      16.2500      16.0514
      16.3500      15.9412
      16.4500      15.8192
      16.5500      15.6971
      16.6500      15.5751
      16.7500      15.4530
      16.8500      15.2928
      16.9500      15.1322
      17.0500      14.9716
      17.1500      14.8111
      17.2500      14.6622
      17.3500      14.5270
      17.4500      14.3918
      17.5500      14.2566
