;
;	MEGS A & B Zeroth Order Trap signal estimates
;	Tom Woods   10/24/03
;
;	Assumed area of 1 mm x 10 mm, but does not include trap diode effect
;	which will increase signal strength
;
;   Index        Filter
;   -------  -----------------------------------------------------
;	1        MEGS-A with Zr filter:   Zr/C  2800/200 Angstroms
;	2        MEGS-A with Si filter:   Zr/Si/C  2300/1200/200 Angstroms
;	3        MEGS-A with Al filter:   Al/Ge/C  2000/200/200 Angstroms
;	4        MEGS-A with Mg filter:   Al/Mg/C  1800/3000/200 Angstroms
;	5        MEGS-A with Sn filter:   Al/Sn/C  1000/2000/200 Angstroms
;
;	6        MEGS-B with No filter:   bare Si diode used
;	7        MEGS-B with Mg filter:   Al/Mg/C  1800/3000/200 Angstroms
;	8        MEGS-B with Sn filter:   Al/Sn/C  1000/2000/200 Angstroms
;
;	MEGS-B with Al on diode (Al/Al2O3 of 1000/100 Angstroms)
;    9             With no filter
;	10             With Mg filter:   Al/Mg/C  1800/3000/200 Angstroms
;
  10000 lines : MEGS Zeroth Order Trap Diode Signals
  11 columns : wavelength_Angstrom, A_Zr_nA, A_Si, A_Al, A_Mg, A_Sn, B_bare, B_Mg, B_Sn, B_Al, B_AlMg
       1.5000000   9.7204200e-11   9.7437000e-11   9.9086500e-11
   9.8988100e-11   9.5975400e-11   9.9385400e-11   9.8988100e-11
   9.5975400e-11       0.0000000       0.0000000
       2.5000000   5.1448600e-10   5.1913500e-10   5.5490900e-10
   5.5228300e-10   4.9277600e-10   5.6220500e-10   5.5228300e-10
   4.9277600e-10       0.0000000       0.0000000
       3.5000000   1.1217300e-09   1.1453900e-09   1.3447500e-09
   1.3275900e-09   1.2853500e-09   1.3905600e-09   1.3275900e-09
   1.2853500e-09       0.0000000       0.0000000
       4.5000000   1.4363300e-09   1.4916700e-09   2.0140700e-09
   1.9614900e-09   1.8469700e-09   2.1526400e-09   1.9614900e-09
   1.8469700e-09       0.0000000       0.0000000
       5.5000000   7.2614200e-07   7.3878200e-07   9.8756800e-07
   9.4289700e-07   8.5808800e-07   1.1058800e-06   9.4289700e-07
   8.5808800e-07       0.0000000       0.0000000
       6.5000000   2.4858300e-06   2.3483600e-06   2.4752600e-06
   2.3022100e-06   2.0130200e-06   2.9421600e-06   2.3022100e-06
   2.0130200e-06       0.0000000       0.0000000
       7.5000000   1.3182400e-06   1.3595900e-06   1.3088900e-06
   1.1780600e-06   9.8291800e-07   1.6733200e-06   1.1780600e-06
   9.8291800e-07       0.0000000       0.0000000
       8.5000000   2.2694400e-06   2.3642300e-06   2.8651800e-06
   2.4185400e-06   1.8444200e-06   3.1310200e-06   2.4185400e-06
   1.8444200e-06       0.0000000       0.0000000
       9.5000000   3.2557700e-06   3.4314100e-06   4.4323100e-06
   4.0849600e-06   2.4981100e-06   4.9514000e-06   4.0849600e-06
   2.4981100e-06       0.0000000       0.0000000
       10.500000   4.0978700e-06   4.3752100e-06   6.5574300e-06
   6.4765100e-06   2.9389600e-06   6.9612700e-06   6.4765100e-06
   2.9389600e-06       0.0000000       0.0000000
       11.500000   4.6324200e-06   5.0169500e-06   8.2578300e-06
   8.1218600e-06   3.0734100e-06   8.9114700e-06   8.1218600e-06
   3.0734100e-06       0.0000000       0.0000000
       12.500000   5.0541100e-06   5.5439600e-06   9.9395800e-06
   9.7305400e-06   2.9581400e-06   1.0929500e-05   9.7305400e-06
   2.9581400e-06       0.0000000       0.0000000
       13.500000   5.2323400e-06   5.8524500e-06   1.1895100e-05
   1.1585400e-05   2.8948300e-06   1.3368800e-05   1.1585400e-05
   2.8948300e-06       0.0000000       0.0000000
       14.500000   4.9315800e-06   5.6693300e-06   1.3586000e-05
   1.3147800e-05   2.7686700e-06   1.5655100e-05   1.3147800e-05
   2.7686700e-06       0.0000000       0.0000000
       15.500000   4.2444000e-06   4.9873300e-06   1.3797400e-05
   1.3253500e-05   2.3442600e-06   1.6346400e-05   1.3253500e-05
   2.3442600e-06       0.0000000       0.0000000
       16.500000   3.2899700e-06   3.9444100e-06   1.2578300e-05
   1.1981100e-05   1.8895700e-06   1.5367600e-05   1.1981100e-05
   1.8895700e-06       0.0000000       0.0000000
       17.500000   2.5018500e-06   3.0646900e-06   1.1404500e-05
   1.0760500e-05   1.9863900e-06   1.4408600e-05   1.0760500e-05
   1.9863900e-06       0.0000000       0.0000000
       18.500000   1.8807500e-06   2.3566900e-06   1.0350400e-05
   9.6614300e-06   1.6267800e-06   1.3548200e-05   9.6614300e-06
   1.6267800e-06       0.0000000       0.0000000
       19.500000   1.3835400e-06   1.7741500e-06   9.2080100e-06
   8.4954800e-06   1.2696400e-06   1.2556100e-05   8.4954800e-06
   1.2696400e-06       0.0000000       0.0000000
       20.500000   1.0304600e-06   1.3440500e-06   8.0599400e-06
   7.3414800e-06   9.6601000e-07   1.1476500e-05   7.3414800e-06
   9.6601000e-07       0.0000000       0.0000000
       21.500000   7.5417500e-07   9.9951900e-07   6.9309400e-06
   6.2248900e-06   7.7416000e-07   1.0338700e-05   6.2248900e-06
   7.7416000e-07       0.0000000       0.0000000
       22.500000   5.4653600e-07   7.3553600e-07   5.9175800e-06
   5.2313900e-06   6.9624300e-07   9.2675600e-06   5.2313900e-06
   6.9624300e-07       0.0000000       0.0000000
       23.500000   4.0194400e-07   5.4827000e-07   5.1039100e-06
   4.4347300e-06   8.8921300e-07   8.4117100e-06   4.4347300e-06
   8.8921300e-07       0.0000000       0.0000000
       24.500000   2.9672400e-07   4.0715400e-07   4.2343000e-06
   3.6111200e-06   1.6609700e-06   7.3712800e-06   3.6111200e-06
   1.6609700e-06       0.0000000       0.0000000
       25.500000   4.5876600e-07   6.3185500e-07   7.2603200e-06
   6.0703200e-06   4.5199400e-06   1.3377600e-05   6.0703200e-06
   4.5199400e-06       0.0000000       0.0000000
       26.500000   8.8074800e-07   1.2165600e-06   1.5482700e-05
   1.2670900e-05   1.0655400e-05   3.0294300e-05   1.2670900e-05
   1.0655400e-05       0.0000000       0.0000000
       27.500000   1.2802600e-06   1.7720700e-06   2.4954400e-05
   1.9968300e-05   1.7642100e-05   5.2002900e-05   1.9968300e-05
   1.7642100e-05       0.0000000       0.0000000
       28.500000   1.6066500e-06   2.2314100e-06   3.5193300e-05
   2.7482800e-05   2.4965300e-05   7.8277100e-05   2.7482800e-05
   2.4965300e-05       0.0000000       0.0000000
       29.500000   1.8355300e-06   2.5579900e-06   4.5645300e-05
   3.4679200e-05   3.2191600e-05   0.00010831800   3.4679200e-05
   3.2191600e-05       0.0000000       0.0000000
       30.500000   2.0700800e-06   2.8690800e-06   5.5826600e-05
   4.1208400e-05   3.9025100e-05   0.00014153900   4.1208400e-05
   3.9025100e-05       0.0000000       0.0000000
       31.500000   2.2480100e-06   3.0922900e-06   6.5304800e-05
   4.6769500e-05   4.5012900e-05   0.00017736600   4.6769500e-05
   4.5012900e-05       0.0000000       0.0000000
       32.500000   2.3864700e-06   3.2495700e-06   7.4110100e-05
   5.1409200e-05   5.0343100e-05   0.00021626800   5.1409200e-05
   5.0343100e-05       0.0000000       0.0000000
       33.500000   2.5310400e-06   3.3935000e-06   8.2247900e-05
   5.5176500e-05   5.5175000e-05   0.00025845200   5.5176500e-05
   5.5175000e-05       0.0000000       0.0000000
       34.500000   2.6777300e-06   3.5175800e-06   8.9145900e-05
   5.7730700e-05   5.9236200e-05   0.00030260300   5.7730700e-05
   5.9236200e-05       0.0000000       0.0000000
       35.500000   2.6802200e-06   3.4415800e-06   9.0349400e-05
   5.6417000e-05   5.9584500e-05   0.00033368400   5.6417000e-05
   5.9584500e-05       0.0000000       0.0000000
       36.500000   2.5321200e-06   3.1692000e-06   8.5430200e-05
   5.1377100e-05   5.5961400e-05   0.00034479800   5.1377100e-05
   5.5961400e-05       0.0000000       0.0000000
       37.500000   2.3589600e-06   2.8718100e-06   7.9126100e-05
   4.5776500e-05   5.1629600e-05   0.00035021500   4.5776500e-05
   5.1629600e-05       0.0000000       0.0000000
       38.500000   2.1990500e-06   2.5926300e-06   7.1938900e-05
   3.9990100e-05   4.7110400e-05   0.00035034100   3.9990100e-05
   4.7110400e-05       0.0000000       0.0000000
       39.500000   2.0936800e-06   2.3704500e-06   6.4096100e-05
   3.4203700e-05   4.2223800e-05   0.00034461900   3.4203700e-05
   4.2223800e-05       0.0000000       0.0000000
       40.500000   1.9690300e-06   2.1360400e-06   5.5969500e-05
   2.8643000e-05   3.7128900e-05   0.00033339900   2.8643000e-05
   3.7128900e-05       0.0000000       0.0000000
       41.500000   1.8534300e-06   1.9169000e-06   4.7886400e-05
   2.3479100e-05   3.2138100e-05   0.00031711900   2.3479100e-05
   3.2138100e-05       0.0000000       0.0000000
       42.500000   1.7310600e-06   1.7057900e-06   4.0217000e-05
   1.8872700e-05   2.7556100e-05   0.00029721900   1.8872700e-05
   2.7556100e-05       0.0000000       0.0000000
       43.500000   1.7528200e-06   1.6425600e-06   3.6227300e-05
   1.6211600e-05   2.5506700e-05   0.00027360700   1.6211600e-05
   2.5506700e-05       0.0000000       0.0000000
       44.500000   1.7463100e-06   1.5638800e-06   3.2364800e-05
   1.3864800e-05   2.3390200e-05   0.00024609900   1.3864800e-05
   2.3390200e-05       0.0000000       0.0000000
       45.500000   1.5687900e-06   1.3369500e-06   2.5785600e-05
   1.0528700e-05   1.9208600e-05   0.00021903500   1.0528700e-05
   1.9208600e-05       0.0000000       0.0000000
       46.500000   1.3769800e-06   1.1150300e-06   2.0084600e-05
   7.7900700e-06   1.5471700e-05   0.00019019700   7.7900700e-06
   1.5471700e-05       0.0000000       0.0000000
       47.500000   1.1728700e-06   8.9730800e-07   1.5060600e-05
   5.5395500e-06   1.1927200e-05   0.00015615300   5.5395500e-06
   1.1927200e-05       0.0000000       0.0000000
       48.500000   9.2198000e-07   6.6332400e-07   1.0242300e-05
   3.5653200e-06   8.3408800e-06   0.00011632400   3.5653200e-06
   8.3408800e-06       0.0000000       0.0000000
       49.500000   5.9114600e-07   3.9961300e-07   5.6575200e-06
   1.8600300e-06   4.7407300e-06   7.0500500e-05   1.8600300e-06
   4.7407300e-06       0.0000000       0.0000000
       50.500000   6.4659900e-07   4.1049600e-07   5.3380000e-06
   1.6532700e-06   4.6098900e-06   7.3199900e-05   1.6532700e-06
   4.6098900e-06       0.0000000       0.0000000
       51.500000   1.2262900e-06   7.2989200e-07   8.7286100e-06
   2.5543300e-06   7.8035100e-06   0.00013159500   2.5543300e-06
   7.8035100e-06       0.0000000       0.0000000
       52.500000   1.9633600e-06   1.0870700e-06   1.1666200e-05
   3.2228300e-06   1.0898600e-05   0.00019367000   3.2228300e-06
   1.0898600e-05       0.0000000       0.0000000
       53.500000   2.9071000e-06   1.4924600e-06   1.4126300e-05
   3.6709200e-06   1.3865400e-05   0.00025920200   3.6709200e-06
   1.3865400e-05       0.0000000       0.0000000
       54.500000   4.1201800e-06   1.9572300e-06   1.6150900e-05
   3.9439000e-06   1.6658200e-05   0.00032825100   3.9439000e-06
   1.6658200e-05       0.0000000       0.0000000
       55.500000   5.7014600e-06   2.4784400e-06   1.7343500e-05
   4.0020000e-06   1.8766400e-05   0.00039193900   4.0020000e-06
   1.8766400e-05       0.0000000       0.0000000
       56.500000   7.8135800e-06   3.0843100e-06   1.7607300e-05
   3.8224100e-06   2.0055400e-05   0.00044668000   3.8224100e-06
