 1816 lines:  Solar Min. Reference spectrum for 0-1 mm (Tom Woods 10/22/03)
 2 columns : wavelength (nm), irradiance (mW/m^2/nm)
      0.50000000   4.5415999e-05
       1.5000000     0.011687200
       2.5000000    0.0027689599
       3.5000000    0.0089034283
       4.5000000     0.017410222
       5.5000000     0.028457090
       6.5000000     0.026111692
       7.5000000     0.020175199
       8.5000000     0.018261882
       9.5000000     0.011856842
       10.500000    0.0050834284
       11.500000    0.0025655651
       12.500000    0.0013521760
       13.500000    0.0014998518
       14.500000     0.014125517
       15.500000    0.0082748385
       16.500000     0.025129696
       17.500000      0.35298285
       18.500000      0.16774054
       19.500000     0.099794869
       20.500000     0.082623412
       21.500000     0.035899534
       22.500000     0.059717332
       23.500000     0.014137021
       24.500000     0.027453060
       25.500000     0.063714508
       26.500000     0.015876981
       27.500000     0.039977453
       28.500000     0.023908771
       29.500000     0.025427118
       30.500000      0.48970490
       31.500000     0.070349204
       32.500000     0.038738460
       33.500000     0.038304477
       34.500000     0.040927535
       35.500000     0.031678872
       36.500000     0.042756163
       37.500000     0.012832000
       38.500000    0.0055012985
       39.500000    0.0048349366
       40.500000    0.0081086417
       41.500000    0.0048578312
       42.500000    0.0044503528
       43.500000    0.0085241377
       44.500000    0.0040705617
       45.500000    0.0036808790
       46.500000     0.012735484
       47.500000    0.0052842104
       48.500000    0.0089649482
       49.500000     0.017155555
       50.500000     0.013493069
       51.500000    0.0044737863
       52.500000    0.0047123808
       53.500000    0.0058093456
       54.500000    0.0040954127
       55.500000     0.018039639
       56.500000    0.0052601768
       57.500000    0.0049808694
       58.500000     0.027360683
       59.500000    0.0064974788
       60.500000     0.017933884
       61.500000    0.0082308941
       62.500000     0.033823999
       63.500000    0.0080913384
       64.500000    0.0020641860
       65.500000    0.0014980152
       66.500000    0.0014451127
       67.500000    0.0014432592
       68.500000    0.0048875911
       69.500000    0.0034388488
       70.500000    0.0098553189
       71.500000    0.0041790209
       72.500000    0.0028358620
       73.500000    0.0036952380
       74.500000    0.0045530200
       75.500000    0.0073403971
       76.500000     0.019152941
       77.500000     0.014015483
       78.500000     0.023429299
       79.500000     0.011584905
       80.500000     0.010862111
       81.500000     0.012341104
       82.500000     0.018232727
       83.500000     0.033820358
       84.500000     0.022641419
       85.500000     0.025216374
       86.500000     0.026728323
       87.500000     0.031817142
       88.500000     0.036361581
       89.500000     0.044223462
       90.500000     0.052397789
       91.500000     0.040568305
       92.500000     0.014313513
       93.500000     0.012800000
       94.500000    0.0090730156
       95.500000    0.0057445025
       96.500000    0.0059730568
       97.500000      0.10266666
       98.500000     0.012097462
       99.500000     0.018661306
       100.50000    0.0076019898
       101.50000    0.0087862066
       102.50000     0.072136583
       103.50000     0.075014491
       104.50000     0.012124402
       105.50000     0.010265403
       106.50000    0.0098028166
       107.50000     0.010422325
       108.50000     0.017397235
       109.50000     0.011702283
       110.50000     0.012483258
       111.50000     0.012873542
       112.50000     0.012200889
       113.50000     0.010949779
       114.50000    0.0074113535
       115.50000     0.012180086
       116.50000     0.013763090
       117.50000     0.050570211
       118.50000     0.015497046
       119.50000     0.046980752
       120.50000      0.12464398
       121.50000       6.2350616
       122.50000     0.051492243
       123.50000     0.035964371
       124.50000     0.027336545
       125.50000     0.026403187
       126.50000     0.036124900
       127.50000     0.020712156
       128.50000     0.017190661
       129.50000     0.019176833
       130.50000      0.15923371
       131.50000     0.027093535
       132.50000     0.020232452
       133.50000      0.16814981
       134.50000     0.017964312
       135.50000     0.041393357
       136.50000     0.026536263
       137.50000     0.028530908
       138.50000     0.028622382
       139.50000     0.071532614
       140.50000     0.063466190
       141.50000     0.041024734
       142.50000     0.044818244
       143.50000     0.052027873
       144.50000     0.050719722
       145.50000     0.054762885
       146.50000     0.068062797
       147.50000     0.086089489
       148.50000     0.087593264
       149.50000     0.078961871
       150.50000     0.088312290
       151.50000     0.095469304
       152.50000      0.11768655
       153.50000      0.13186970
       154.50000      0.22265372
       155.50000      0.19017363
       156.50000      0.19772523
       157.50000      0.17881904
       158.50000      0.17258044
       159.50000      0.17404388
       160.50000      0.19423052
       161.50000      0.22845820
       162.50000      0.26200615
       163.50000      0.28490519
       164.50000      0.31505166
       165.50000      0.50351660
       166.50000      0.35907506
       167.50000      0.41424476
       168.50000      0.47397031
       169.50000      0.61893804
       170.50000      0.71089734
       171.50000      0.70386004
       172.50000      0.76644636
       173.50000      0.77635733
       174.50000      0.95585098
       175.50000       1.1765242
       176.50000       1.2787535
       177.50000       1.5362253
       178.50000       1.7126050
       179.50000       1.6700835
       180.50000       1.9755124
       181.50000       2.3406060
       182.50000       2.2378082
       183.50000       2.3869209
       184.50000       2.0443360
       185.50000       2.3403773
       186.50000       2.6748525
       187.50000       3.1091199
       188.50000       3.2972943
       189.50000       3.7027967
       190.50000       3.8624671
       191.50000       4.2348824
       192.50000       4.5249869
       193.50000       3.4406201
       194.50000       5.7319279
       195.50000       5.5867006
       196.50000       6.3340456
       197.50000       6.4241011
       198.50000       6.4982366
       199.50000       7.0624559
       200.50000       7.3260000
       201.50000       8.0230000
       202.50000       8.2610000
       203.50000       9.2170000
       204.50000       10.250000
       205.50000       10.540000
       206.50000       11.080000
       207.50000       12.650000
       208.50000       15.050000
       209.50000       21.380000
       210.50000       27.920000
       211.50000       33.540000
       212.50000       31.300000
       213.50000       33.150000
       214.50000       40.030000
       215.50000       36.150000
       216.50000       32.270000
       217.50000       35.290000
       218.50000       44.370000
       219.50000       46.920000
       220.50000       47.330000
       221.50000       39.580000
       222.50000       49.650000
       223.50000       63.010000
       224.50000       58.970000
       225.50000       52.290000
       226.50000       39.400000
       227.50000       39.920000
       228.50000       51.950000
       229.50000       47.710000
       230.50000       52.120000
       231.50000       50.970000
       232.50000       53.260000
       233.50000       44.740000
       234.50000       38.970000
       235.50000       51.420000
       236.50000       48.590000
       237.50000       48.440000
       238.50000       41.960000
       239.50000       44.120000
       240.50000       39.560000
       241.50000       51.480000
       242.50000       70.600000
       243.50000       66.530000
       244.50000       60.970000
       245.50000       49.390000
       246.50000       50.400000
       247.50000       55.500000
       248.50000       45.650000
       249.50000       56.380000
       250.50000       60.100000
       251.50000       46.010000
       252.50000       41.550000
       253.50000       51.550000
       254.50000       59.570000
       255.50000       79.300000
       256.50000       101.80000
       257.50000       125.40000
       258.50000       125.10000
       259.50000       104.00000
       260.50000       85.510000
       261.50000       89.800000
       262.50000       103.60000
       263.50000       165.80000
       264.50000       249.70000
       265.50000       252.70000
       266.50000       249.40000
       267.50000       250.80000
       268.50000       243.80000
       269.50000       238.90000
       270.50000       267.30000
       271.50000       224.40000
       272.50000       197.40000
       273.50000       196.50000
       274.50000       132.60000
       275.50000       175.10000
       276.50000       242.80000
       277.50000       233.80000
       278.50000       159.30000
       279.50000       85.550000
       280.50000       94.630000
       281.50000       208.30000
       282.50000       294.10000
