; Solar UV Spectra for Solar Cycle 22 Conditions
;  
; Spectra are based on UARS SOLSTICE measurements from 119 to 420 nm
; and a 1994 rocket measurement and AE-E relative variability from 0 to 119 nm
;  
; You can read this data file using the IDL procedure called  read_dat.pro
;  
; Column 1:  wavelength in nm
; Column 2:  solar minimum irradiance in units of photons/sec/cm^2
; Column 3:  27-day variability for 1992/032 (max/min)
; Column 4:  11-year variability for solar cycle 22 (max/min)
;  
; REFERENCE:
; Tom Woods and Gary Rottman, Solar ultraviolet variability over time periods
; of aeronomic interest, in Comparative Aeronomy in the Solar System, edited
; by M. Mendillo, A. Nagy, and J. Hunter Waite, Jr., Geophys. Monograph Series,
; Wash. DC, pp. 221-234, 2002.
;  
; Revised 10/25/01 to include YOHKOH SXT and GOES XRS values below 3 nm
;
; Revised 10/04/02 to include TIMED/NRLEUV results below 30 nm and 
;		   to extend UARS data from 200 nm up to 420 nm
;
; Revised 5/3/04   to update irradiance for 9-14 nm based on Mewe model
;			increased by factor of 2 at 9.5 nm to 30 at 13.5 nm
;
; Revised 12/9/04  to update irradiance for 3-27 nm based on HEUVAC model
;
FORMAT = (F8.1,E12.4,2F10.5)
 420 lines : Reference Spectra 0-420 nm, Tom Woods, LASP/CU, 9/20/02
 4 columns : Wavelength_nm  Irradiance_ph/s/cm^2   27-Day_Ratio  SC_Ratio
     0.5  2.2700E+04  30.00000 100.00000
     1.5  8.7654E+06   6.00000  20.00000
     2.5  3.4612E+06   3.00000  10.00000
     3.5  1.0500E+07   1.66100   4.69800
     4.5  6.1800E+07   1.56300   3.28900
     5.5  1.6530E+08   1.42200   2.26200
     6.5  2.0850E+08   1.43700   2.36800
     7.5  2.2560E+08   1.37400   2.10900
     8.5  3.1260E+08   1.40900   2.11800
     9.5  2.8320E+08   1.50000   2.50000
    10.5  1.4400E+08   1.50000   2.50000
    11.5  5.1300E+07   1.50000   2.50000
    12.5  4.2600E+07   1.50000   2.50000
    13.5  2.5800E+07   1.50000   2.50000
    14.5  1.8540E+08   1.39700   2.05000
    15.5  1.6340E+08   1.54400   2.98000
    16.5  2.3080E+08   1.27500   1.72300
    17.5  1.5644E+09   1.36300   1.85700
    18.5  1.5748E+09   1.48500   2.45100
    19.5  1.2038E+09   1.56600   3.11200
    20.5  5.8380E+08   1.61200   3.77200
    21.5  5.3160E+08   1.64900   4.27800
    22.5  5.3560E+08   1.46500   2.45600
    23.5  4.1300E+08   1.41700   2.25800
    24.5  1.0624E+09   1.47600   2.49300
    25.5  1.2326E+09   1.51000   2.70800
    26.5  2.0400E+08   1.64000   4.10500
    27.5  5.4969E+08   1.56800   3.26900
    28.5  3.4070E+08   1.72000   6.20600
