 2700 lines : Rocket XP#3 (Lyman-alpha), SURF BL-2 May 2003
 2 columns : Wavelength_nm  Sensitivity_e/ph
      115.000  4.47631e-05
      115.100  5.42657e-05
      115.200  6.46727e-05
      115.300  7.59825e-05
      115.400  8.81910e-05
      115.500  0.000101296
      115.600  0.000113431
      115.700  0.000126241
      115.800  0.000139724
      115.900  0.000153877
      116.000  0.000168699
      116.100  0.000184188
      116.200  0.000200343
      116.300  0.000217163
      116.400  0.000234642
      116.500  0.000252782
      116.600  0.000269441
      116.700  0.000286616
      116.800  0.000304307
      116.900  0.000322509
      117.000  0.000341222
      117.100  0.000360445
      117.200  0.000380177
      117.300  0.000400417
      117.400  0.000421161
      117.500  0.000442409
      117.600  0.000460089
      117.700  0.000478329
      117.800  0.000496935
      117.900  0.000515906
      118.000  0.000535244
      118.100  0.000554950
      118.200  0.000575023
      118.300  0.000595466
      118.400  0.000616277
      118.500  0.000637458
      118.600  0.000653539
      118.700  0.000669829
      118.800  0.000686330
      118.900  0.000703041
      119.000  0.000719963
      119.100  0.000737095
      119.200  0.000754439
      119.300  0.000771996
      119.400  0.000789764
      119.500  0.000807744
      119.600  0.000811828
      119.700  0.000815925
      119.800  0.000820034
      119.900  0.000824155
      120.000  0.000828289
      120.100  0.000832435
      120.200  0.000836593
      120.300  0.000840764
      120.400  0.000844947
      120.500  0.000849143
      120.600  0.000842595
      120.700  0.000836069
      120.800  0.000828862
      120.900  0.000821604
      121.000  0.000814381
      121.100  0.000807191
      121.200  0.000800037
      121.300  0.000792916
      121.400  0.000785829
      121.500  0.000778777
      121.600  0.000762922
      121.700  0.000747235
      121.800  0.000731715
      121.900  0.000716365
      122.000  0.000701183
      122.100  0.000686169
      122.200  0.000671322
      122.300  0.000656642
      122.400  0.000642130
      122.500  0.000627786
      122.600  0.000609090
      122.700  0.000590683
      122.800  0.000572563
      122.900  0.000554734
      123.000  0.000537193
      123.100  0.000519939
      123.200  0.000502974
      123.300  0.000486294
      123.400  0.000469903
      123.500  0.000453798
      123.600  0.000436539
      123.700  0.000419620
      123.800  0.000403041
      123.900  0.000386803
      124.000  0.000370904
      124.100  0.000355345
      124.200  0.000340124
      124.300  0.000325241
      124.400  0.000310696
      124.500  0.000296490
      124.600  0.000286199
      124.700  0.000276094
      124.800  0.000266173
      124.900  0.000256438
      125.000  0.000246887
      125.100  0.000237521
      125.200  0.000228340
      125.300  0.000219342
      125.400  0.000210529
      125.500  0.000201899
      125.600  0.000195807
      125.700  0.000189810
      125.800  0.000183908
      125.900  0.000178102
      126.000  0.000172390
      126.100  0.000166774
      126.200  0.000161253
      126.300  0.000155827
      126.400  0.000150496
      126.500  0.000145259
      126.600  0.000140234
      126.700  0.000135299
      126.800  0.000130454
      126.900  0.000125699
      127.000  0.000121035
      127.100  0.000116460
      127.200  0.000111975
      127.300  0.000107579
      127.400  0.000103273
      127.500  9.90566e-05
      127.600  9.48427e-05
      127.700  9.07219e-05
      127.800  8.66937e-05
      127.900  8.27587e-05
      128.000  7.89165e-05
      128.100  7.51667e-05
      128.200  7.15101e-05
      128.300  6.79454e-05
      128.400  6.44736e-05
      128.500  6.10935e-05
      128.600  5.89969e-05
      128.700  5.69380e-05
      128.800  5.49161e-05
      128.900  5.29317e-05
      129.000  5.09843e-05
      129.100  4.90741e-05
      129.200  4.72013e-05
      129.300  4.53653e-05
      129.400  4.35667e-05
      129.500  4.18048e-05
      129.600  4.05167e-05
      129.700  3.92495e-05
      129.800  3.80026e-05
      129.900  3.67765e-05
      130.000  3.55707e-05
      130.100  3.43855e-05
      130.200  3.32209e-05
      130.300  3.20767e-05
      130.400  3.09531e-05
      130.500  2.98498e-05
      130.600  2.87818e-05
      130.700  2.77338e-05
      130.800  2.67055e-05
      130.900  2.56971e-05
      131.000  2.47083e-05
      131.100  2.37393e-05
      131.200  2.27902e-05
      131.300  2.18606e-05
      131.400  2.09508e-05
      131.500  2.00606e-05
      131.600  1.94112e-05
      131.700  1.87729e-05
      131.800  1.81454e-05
      131.900  1.75288e-05
      132.000  1.69231e-05
      132.100  1.63282e-05
      132.200  1.57442e-05
      132.300  1.51711e-05
      132.400  1.46088e-05
      132.500  1.40573e-05
      132.600  1.37185e-05
      132.700  1.33839e-05
      132.800  1.30536e-05
