 301 lines : SAM Filter Transmission - Henke Model : C/Al/Ti/SiO (400 Ang/1500 A/3000 A/70 A) filter
 2 columns : wavelength (nm),  transmission
    0.0413233     0.999347
    0.0424409     0.999293
    0.0435885     0.999234
    0.0447674     0.999171
    0.0459795     0.999102
    0.0472231     0.999028
    0.0484997     0.998947
    0.0498112     0.998860
    0.0511596     0.998766
    0.0525430     0.998665
    0.0539634     0.998555
    0.0554229     0.998436
    0.0569218     0.998308
    0.0584626     0.998169
    0.0600426     0.998020
    0.0616674     0.997858
    0.0633340     0.997683
    0.0650488     0.997494
    0.0668086     0.997290
    0.0686130     0.997070
    0.0704695     0.996833
    0.0723743     0.996577
    0.0743315     0.996300
    0.0763456     0.996001
    0.0784074     0.995680
    0.0805314     0.995332
    0.0827073     0.994958
    0.0849459     0.994554
    0.0872414     0.994119
    0.0895996     0.993650
    0.0920273     0.993145
    0.0945109     0.992601
    0.0970715     0.992014
    0.0996944     0.991384
     0.102395     0.990704
     0.105166     0.989973
     0.108007     0.989187
     0.110925     0.988341
     0.113933     0.987432
     0.117008     0.986455
     0.120173     0.985405
     0.123427     0.984154
     0.126763     0.982780
     0.130192     0.981459
     0.133712     0.980041
     0.137329     0.978521
     0.141043     0.976892
     0.144859     0.975147
     0.148777     0.973276
     0.152800     0.971277
     0.156934     0.969135
     0.161178     0.966848
     0.165538     0.964402
     0.170015     0.961793
     0.174613     0.959007
     0.179337     0.956038
     0.184186     0.952874
     0.189169     0.949506
     0.194286     0.945919
     0.199540     0.942111
     0.204936     0.938069
     0.210479     0.933779
     0.216171     0.929233
     0.222021     0.924420
     0.228024     0.919335
     0.234193     0.913961
     0.240527     0.908297
     0.247031     0.902330
     0.253715     0.979857
     0.260573     0.978316
     0.267621     0.976660
     0.274860     0.974881
     0.282295     0.972972
     0.289934     0.970922
     0.297776     0.968723
     0.305827     0.966364
     0.314103     0.963833
     0.322595     0.961122
     0.331320     0.958215
     0.340278     0.955101
     0.349487     0.951765
     0.358938     0.948194
     0.368640     0.944375
     0.378615     0.940288
     0.388852     0.935919
     0.399375     0.931248
     0.410171     0.926265
     0.421265     0.920944
     0.432660     0.915267
     0.444369     0.909212
     0.456393     0.902766
     0.468731     0.895901
     0.481399     0.888605
     0.494436     0.880844
     0.507803     0.872610
     0.521540     0.863868
     0.535646     0.854611
     0.550122     0.844808
     0.565015     0.834439
     0.580302     0.823488
     0.595981     0.811945
     0.612107     0.799825
     0.628651     0.787193
     0.645677     0.773830
     0.663118     0.759770
     0.681079     0.747293
     0.699487     0.731884
     0.718417     0.715818
     0.737829     0.699339
     0.757809     0.682113
     0.778266     0.664176
     0.799342     0.754878
     0.820939     0.739503
     0.843161     0.723605
     0.865954     0.707193
     0.889375     0.690060
     0.913425     0.672177
     0.938172     0.653522
     0.963547     0.634143
     0.989622     0.614103
      1.01631     0.593591
      1.04387     0.572447
      1.07203     0.550709
      1.10107     0.528336
      1.13080     0.505440
      1.16142     0.482028
      1.19282     0.458228
      1.22512     0.434474
      1.25825     0.410373
      1.29228     0.386034
      1.32723     0.361699
      1.36313     0.337717
      1.40000     0.314047
      1.43787     0.290626
      1.47677     0.267627
      1.51669     0.245166
      1.55773     0.223282
      1.59986     0.202145
      1.64312     0.182032
      1.68756     0.162827
      1.73322     0.144585
      1.78010     0.128407
      1.82825     0.113842
      1.87768    0.0990283
      1.92847    0.0851036
      1.98064    0.0728301
      2.03420    0.0619553
      2.08922    0.0521810
      2.14574    0.0434823
      2.20375    0.0538147
      2.26338    0.0450875
      2.32458    0.0378292
      2.38748    0.0310206
      2.45204    0.0251440
      2.51833    0.0201278
      2.58648    0.0158986
      2.65642    0.0123863
      2.72827     0.373168
      2.80209     0.351282
      2.87787     0.329815
      2.95568     0.308903
      3.03565     0.288188
      3.11772     0.267790
      3.20204     0.247897
      3.28868     0.226973
      3.37765     0.206665
      3.46895     0.186872
      3.56277     0.168412
      3.65920     0.151347
      3.75815     0.135134
      3.85983     0.119819
      3.96425     0.105460
      4.07140    0.0921290
      4.18154    0.0798464
      4.29467    0.0686012
      4.41080    0.0869837
      4.53007    0.0751206
      4.65266    0.0646114
      4.77837    0.0560068
      4.90776    0.0484941
      5.04046    0.0417971
      5.17685    0.0357683
      5.31672    0.0301881
      5.46051    0.0250959
      5.60823    0.0204885
      5.75988    0.0164643
      5.91573    0.0131645
      6.07577    0.0103947
      6.24000   0.00813891
      6.40904   0.00641245
      6.58224   0.00500648
      6.76028   0.00385739
      6.94315   0.00295703
      7.13086   0.00239422
      7.32380   0.00195066
      7.52199   0.00158169
      7.72543   0.00127935
      7.93408   0.00104672
      8.14895  0.000853029
      8.36900  0.000701080
      8.59590  0.000578738
      8.82789  0.000475706
      9.06677  0.000391660
      9.31195  0.000322020
      9.56411  0.000264217
      9.82252  0.000216040
      10.0887  0.000187702
      10.3611  0.000172500
      10.6412  0.000157431
      10.9292  0.000142578
      11.2251  0.000128573
      11.5289  0.000119032
      11.8405  0.000110108
      12.1611  0.000102718
      12.4894  9.62605e-05
      12.8272  9.36295e-05
      13.1741  9.11642e-05
      13.5304  8.94760e-05
      13.8964  8.75509e-05
      14.2722  8.68682e-05
      14.6583  9.67337e-05
      15.0548  0.000104304
      15.4620  0.000110182
      15.8802  0.000112867
      16.3097  0.000106485
      16.7509  9.65085e-05
      17.2040  0.000787878
      17.6691  0.000486097
      18.1471  0.000286893
      18.6379  0.000120935
      19.1421  3.83686e-05
      19.6597  1.04615e-05
      20.1915  2.11296e-06
      20.7377  3.04119e-07
      21.2985  3.71232e-08
      21.8746  4.03079e-09
      22.4661  3.25372e-10
      23.0741  2.13579e-11
      23.6982  1.03858e-12
      24.3389  3.79491e-14
      24.9975  5.16263e-15
      25.6736  1.16373e-15
      26.3676  3.83801e-16
      27.0807  2.68694e-16
      27.8134  3.16124e-16
      28.5658  6.99377e-16
      29.3385  3.93805e-15
      30.1315  3.00554e-14
      30.9469  2.10018e-13
      31.7839  1.38629e-12
      32.6434  7.91401e-12
      33.5262  3.35172e-11
      34.4332  1.15181e-10
      35.3644  3.29397e-10
      36.3208  6.44585e-10
      37.3033  1.20547e-09
      38.3120  1.09769e-09
      39.3481  9.48501e-10
      40.4127  5.46539e-10
      41.5060  1.96554e-10
      42.6292  6.83328e-11
      43.7809  2.31105e-11
      44.9655  7.43321e-12
      46.1816  3.28594e-12
      47.4308  1.96251e-12
      48.7131  1.16394e-12
      50.0323  9.92184e-13
      51.3844  1.12390e-12
      52.7734  1.25433e-12
      54.2016  1.43977e-12
      55.6668  2.80258e-12
      57.1738  6.26047e-12
      58.7202  1.32600e-11
      60.3084  2.51790e-11
      61.9385  4.28324e-11
      63.6135  6.03092e-11
      65.3368  6.56308e-11
      67.1015  6.84636e-11
      68.9182  6.24590e-11
      70.7793  5.73299e-11
      72.6969  4.77697e-11
      74.6627  3.27953e-11
      76.6809  2.08264e-11
      78.7561  1.24770e-11
      80.8834  5.22204e-12
      83.0731  5.70453e-13
      85.3200  1.34752e-14
      87.6299  1.83838e-15
      89.9964  5.10654e-16
      92.4322  1.49495e-16
      94.9307  5.18791e-17
      97.4990  1.75600e-17
      100.137  6.22725e-18
      102.846  2.31069e-18
      105.623  8.25792e-19
      108.479  2.78900e-19
      111.414  8.69304e-20
      114.427  1.76164e-20
      117.529  3.08150e-21
      120.711  4.85435e-22
      123.970  6.89778e-23
