;  Henke Model results for SAM filter and Si diode transmission
;  Filter:  C/Al/Ti/SiO (400 Ang/1500 A/3000 A/70 A)
;  Si diode:  5 micron thick assumed (1. - transmission)
 301 lines : SAM Filter Transmission 
 2 columns : wavelength (nm),  transmission
     0.041323300    0.0013417144
     0.042440900    0.0014578473
     0.043588500    0.0015838543
     0.044767400    0.0017206052
     0.045979500    0.0018689492
     0.047223100    0.0020298920
     0.048499700    0.0022044240
     0.049811200    0.0023936798
     0.051159600    0.0025990042
     0.052543000    0.0028216635
     0.053963400    0.0030629505
     0.055422900    0.0033246013
     0.056921800    0.0036083096
     0.058462600    0.0039158105
     0.060042600    0.0042490067
     0.061667400    0.0046101168
     0.063334000    0.0050012525
     0.065048800    0.0054245213
     0.066808600    0.0058823770
     0.068613000    0.0063773106
     0.070469500    0.0069129675
     0.072374300    0.0074919513
     0.074331500    0.0081180603
     0.076345600    0.0087952314
     0.078407400    0.0095263919
     0.080531400     0.010317170
     0.082707300     0.011170811
     0.084945900     0.012092903
     0.087241400     0.013089715
     0.089599600     0.014164115
     0.092027300     0.015326085
     0.094510900     0.016577627
     0.097071500     0.017929287
     0.099694400     0.019385887
      0.10239500     0.020957924
      0.10516600     0.022652498
      0.10800700     0.024478092
      0.11092500     0.026442728
      0.11393300     0.028561468
      0.11700800     0.030838878
      0.12017300     0.033290129
      0.12342700     0.035748842
      0.12676300     0.038346517
      0.13019200     0.041359272
      0.13371200     0.044590200
      0.13732900     0.048060253
      0.14104300     0.051779902
      0.14485900     0.055768858
      0.14877700     0.060036388
      0.15280000     0.064605132
      0.15693400     0.069492107
      0.16117800     0.074711076
      0.16553800     0.080280312
      0.17001500     0.086221785
      0.17461300     0.092550195
      0.17933700     0.099281332
      0.18418600      0.10643387
      0.18916900      0.11403112
      0.19428600      0.12207742
      0.19954000      0.13059200
      0.20493600      0.13959083
      0.21047900      0.14908596
      0.21617100      0.15907721
      0.22202100      0.16958534
      0.22802400      0.18060182
      0.23419300      0.19213835
      0.24052700      0.20417582
      0.24703100      0.21672018
      0.25371500      0.25123746
      0.26057300      0.26753686
      0.26762100      0.28459717
      0.27486000      0.30240588
      0.28229500      0.32094589
      0.28993400      0.34018164
      0.29777600      0.36010059
      0.30582700      0.38063679
      0.31410300      0.40175052
      0.32259500      0.42336411
      0.33132000      0.44538927
      0.34027800      0.46775702
      0.34948700      0.49037554
      0.35893800      0.51311646
      0.36864000      0.53581297
      0.37861500      0.55838306
      0.38885200      0.58062240
      0.39937500      0.60240890
      0.41017100      0.62354811
      0.42126500      0.64389960
      0.43266000      0.66327679
      0.44436900      0.68148344
      0.45639300      0.69840363
      0.46873100      0.71382000
      0.48139900      0.72764447
      0.49443600      0.73969533
      0.50780300      0.74989844
      0.52154000      0.75815740
      0.53564600      0.76441295
      0.55012200      0.76859215
      0.56501500      0.77072378
      0.58030200      0.77079866
      0.59598100      0.76886488
      0.61210700      0.76497655
      0.62865100      0.75927146
      0.64567700      0.75181058
      0.66311800      0.74267176
      0.68107900      0.22522467
      0.69948700      0.23512055
      0.71841700      0.24471429
      0.73782900      0.25371426
      0.75780900      0.26234516
      0.77826600      0.27048118
      0.79934200      0.32514975
      0.82093900      0.33641310
      0.84316100      0.34682829
      0.86595400      0.35645133
      0.88937500      0.36523156
      0.91342500      0.37295682
      0.93817200      0.37955110
      0.96354700      0.38484429
      0.98962200      0.38871418
       1.0163100      0.39120161
       1.0438700      0.39211376
       1.0720300      0.39129269
       1.1010700      0.38868483
       1.1308000      0.38422882
       1.1614200      0.37786518
       1.1928200      0.36966485
       1.2251200      0.35897806
       1.2582500      0.34523916
       1.2922800      0.33275893
       1.3272300      0.31875129
       1.3631300      0.30342554
       1.4000000      0.28698188
       1.4378700      0.26961396
       1.4767700      0.25159625
       1.5166900      0.23316238
       1.5577300      0.21448614
       1.5998600      0.19586515
       1.6431200      0.17765043
       1.6875600      0.15984564
       1.7332200      0.14261195
       1.7801000      0.12712869
       1.8282500      0.11303424
       1.8776800     0.098534879
       1.9284700     0.084810736
       1.9806400     0.072661490
       2.0342000     0.061861424
       2.0892200     0.052130752
       2.1457400     0.043456525
       2.2037500     0.053795713
       2.2633800     0.045078373
       2.3245800     0.037824972
       2.3874800     0.031018757
       2.4520400     0.025143200
       2.5183300     0.020127470
       2.5864800     0.015898471
       2.6564200     0.012386253
       2.7282700      0.37316735
       2.8020900      0.35128175
       2.8778700      0.32981490
       2.9556800      0.30890296
       3.0356500      0.28818798
       3.1177200      0.26779000
       3.2020400      0.24789700
       3.2886800      0.22697300
       3.3776500      0.20666500
       3.4689500      0.18687200
       3.5627700      0.16841200
       3.6592000      0.15134700
       3.7581500      0.13513400
       3.8598300      0.11981900
       3.9642500      0.10546000
       4.0714000     0.092129000
       4.1815400     0.079846400
       4.2946700     0.068601200
       4.4108000     0.086983700
       4.5300700     0.075120600
       4.6526600     0.064611400
       4.7783700     0.056006800
       4.9077600     0.048494100
       5.0404600     0.041797100
       5.1768500     0.035768300
       5.3167200     0.030188100
       5.4605100     0.025095900
       5.6082300     0.020488500
       5.7598800     0.016464300
       5.9157300     0.013164500
       6.0757700     0.010394700
       6.2400000    0.0081389100
       6.4090400    0.0064124500
       6.5822400    0.0050064800
       6.7602800    0.0038573900
       6.9431500    0.0029570300
       7.1308600    0.0023942200
       7.3238000    0.0019506600
       7.5219900    0.0015816900
       7.7254300    0.0012793500
       7.9340800    0.0010467200
       8.1489500   0.00085302900
       8.3690000   0.00070108000
       8.5959000   0.00057873800
       8.8278900   0.00047570600
       9.0667700   0.00039166000
       9.3119500   0.00032202000
       9.5641100   0.00026421700
       9.8225200   0.00021604000
       10.088700   0.00018770200
       10.361100   0.00017250000
       10.641200   0.00015743100
       10.929200   0.00014257800
       11.225100   0.00012857300
       11.528900   0.00011903200
       11.840500   0.00011010800
       12.161100   0.00010271800
       12.489400   9.6260500e-05
       12.827200   9.3571855e-05
       13.174100   9.1129448e-05
       13.530400   8.9453268e-05
       13.896400   8.7535046e-05
       14.272200   8.6857140e-05
       14.658300   9.6725166e-05
       15.054800   0.00010429772
       15.462000   0.00011017754
       15.880200   0.00011286394
       16.309700   0.00010648296
       16.750900   9.6507183e-05
       17.204000   0.00078787044
       17.669100   0.00048609375
       18.147100   0.00028689168
       18.637900   0.00012093463
       19.142100   3.8368520e-05
       19.659700   1.0461486e-05
       20.191500   2.1129581e-06
       20.737700   3.0411882e-07
       21.298500   3.7123185e-08
       21.874600   4.0307890e-09
       22.466100   3.2537194e-10
       23.074100   2.1357897e-11
       23.698200   1.0385799e-12
       24.338900   3.7949098e-14
       24.997500   5.1626300e-15
       25.673600   1.1637300e-15
       26.367600   3.8380100e-16
       27.080700   2.6869400e-16
       27.813400   3.1612400e-16
       28.565800   6.9937700e-16
       29.338500   3.9380500e-15
       30.131500   3.0055400e-14
       30.946900   2.1001800e-13
       31.783900   1.3862900e-12
       32.643400   7.9140100e-12
       33.526200   3.3517200e-11
       34.433200   1.1518100e-10
       35.364400   3.2939700e-10
       36.320800   6.4458500e-10
       37.303300   1.2054700e-09
       38.312000   1.0976900e-09
       39.348100   9.4850100e-10
       40.412700   5.4653900e-10
       41.506000   1.9655400e-10
       42.629200   6.8332800e-11
       43.780900   2.3110500e-11
       44.965500   7.4332100e-12
       46.181600   3.2859400e-12
       47.430800   1.9625100e-12
       48.713100   1.1639400e-12
       50.032300   9.9218400e-13
       51.384400   1.1239000e-12
       52.773400   1.2543300e-12
       54.201600   1.4397700e-12
       55.666800   2.8025800e-12
       57.173800   6.2604700e-12
       58.720200   1.3260000e-11
       60.308400   2.5179000e-11
       61.938500   4.2832400e-11
       63.613500   6.0309200e-11
       65.336800   6.5630800e-11
       67.101500   6.8463600e-11
       68.918200   6.2459000e-11
       70.779300   5.7329900e-11
       72.696900   4.7769700e-11
       74.662700   3.2795300e-11
       76.680900   2.0826400e-11
       78.756100   1.2477000e-11
       80.883400   5.2220400e-12
       83.073100   5.7045300e-13
