 301 lines : Henke model of photon absorption for Si 7 micron thick
 2 columns : Wavelength (Angstrom)   Absorption (0-1)
     0.413233   0.00188088
     0.424409   0.00204378
     0.435885   0.00222051
     0.447674   0.00241220
     0.459795   0.00262040
     0.472231   0.00284606
     0.484997   0.00309092
     0.498112   0.00335646
     0.511596   0.00364465
     0.525430   0.00395703
     0.539634   0.00429571
     0.554229   0.00466299
     0.569218   0.00506121
     0.584626   0.00549304
     0.600426   0.00596076
     0.616674   0.00646806
     0.633340   0.00701749
     0.650488   0.00761217
     0.668086   0.00825560
     0.686130   0.00895131
     0.704695   0.00970447
     0.723743    0.0105186
     0.743315    0.0113994
     0.763456    0.0123523
     0.784074    0.0133815
     0.805314    0.0144951
     0.827073    0.0156976
     0.849459    0.0169970
     0.872414    0.0184023
     0.895996    0.0199179
     0.920273    0.0215577
     0.945109    0.0233250
     0.970715    0.0252346
     0.996944    0.0272939
      1.02395    0.0295181
      1.05166    0.0319172
      1.08007    0.0345031
      1.10925    0.0372896
      1.13933    0.0402960
      1.17008    0.0435318
      1.20173    0.0470174
      1.23427    0.0505283
      1.26763    0.0542454
      1.30192    0.0585488
      1.33712    0.0631707
      1.37329    0.0681418
      1.41043    0.0734787
      1.44859    0.0792110
      1.48777    0.0853573
      1.52800    0.0919498
      1.56934    0.0990155
      1.61178     0.106579
      1.65538     0.114670
      1.70015     0.123324
      1.74613     0.132566
      1.79337     0.142425
      1.84186     0.152935
      1.89169     0.164136
      1.94286     0.176041
      1.99540     0.188686
      2.04936     0.202105
      2.10479     0.216323
      2.16171     0.231355
      2.22021     0.247239
      2.28024     0.263977
      2.34193     0.281599
      2.40527     0.300095
      2.47031     0.319487
      2.53715     0.339760
      2.60573     0.360895
      2.67621     0.382890
      2.74860     0.405710
      2.82295     0.429316
      2.89934     0.453638
      2.97776     0.478642
      3.05827     0.504226
      3.14103     0.530319
      3.22595     0.556808
      3.31320     0.583569
      3.40278     0.610501
      3.49487     0.637483
      3.58938     0.664355
      3.68640     0.690924
      3.78615     0.717095
      3.88852     0.742651
      3.99375     0.767474
      4.10171     0.791376
      4.21265     0.814249
      4.32660     0.835937
      4.44369     0.856307
      4.56393     0.875296
      4.68731     0.892783
      4.81399     0.908757
      4.94436     0.923157
      5.07803     0.936008
      5.21540     0.947338
      5.35646     0.957198
      5.50122     0.965646
      5.65015     0.972807
      5.80302     0.978775
      5.95981     0.983673
      6.12107     0.987612
      6.28651     0.990715
      6.45677     0.993181
      6.63118     0.995092
      6.81079     0.395455
      6.99487     0.419439
      7.18417     0.444026
      7.37829     0.468671
      7.57809     0.494018
      7.78266     0.519939
      7.99342     0.546417
      8.20939     0.573225
      8.43161     0.599775
      8.65954     0.626191
      8.89375     0.652607
      9.13425     0.678797
      9.38172     0.704738
      9.63547     0.730202
      9.89622     0.755001
      10.1631     0.779064
      10.4387     0.802276
      10.7203     0.824405
      11.0107     0.845434
      11.3080     0.865162
      11.6142     0.883494
      11.9282     0.900384
      12.2512     0.914202
      12.5825     0.924445
      12.9228     0.937909
      13.2723     0.949720
      13.6313     0.959632
      14.0000     0.967929
      14.3787     0.974934
      14.7677     0.980750
