 301 lines : Woods Si diode response for IRD AXUV-100 diode  (June 5, 2005)
 2 columns :  Wavelength_Angstroms,  Reponsivity_electrons_per_photon
     0.413233      10.0737
     0.424409      10.6329
     0.435885      11.2030
     0.447674      11.7806
     0.459795      12.3617
     0.472231      13.1548
     0.484997      13.9874
     0.498112      14.8556
     0.511596      15.7584
     0.525430      16.6943
     0.539634      17.6608
     0.554229      18.6550
     0.569218      19.6733
     0.584626      20.7103
     0.600426      21.7673
     0.616674      23.1122
     0.633340      24.5107
     0.650488      25.9576
     0.668086      27.4503
     0.686130      28.9837
     0.704695      30.5523
     0.723743      32.1483
     0.743315      33.7628
     0.763456      35.3838
     0.784074      37.3901
     0.805314      39.6530
     0.827073      42.0013
     0.849459      44.4295
     0.872414      46.9391
     0.895996      49.5105
     0.920273      52.1445
     0.945109      54.8227
     0.970715      57.5304
     0.996944      60.2520
      1.02395      63.7233
      1.05166      67.4137
      1.08007      71.2262
      1.10925      75.1469
      1.13933      79.1661
      1.17008      83.2703
      1.20173      87.4334
      1.23427      91.1907
      1.26763      94.8479
      1.30192      99.4611
      1.33712      105.067
      1.37329      110.846
      1.41043      116.772
      1.44859      122.830
      1.48777      128.984
      1.52800      135.209
      1.56934      141.464
      1.61178      147.697
      1.65538      153.853
      1.70015      161.974
      1.74613      170.528
      1.79337      179.255
      1.84186      188.122
      1.89169      197.089
      1.94286      206.084
      1.99540      215.048
      2.04936      223.912
      2.10479      232.586
      2.16171      242.276
      2.22021      254.145
      2.28024      266.129
      2.34193      278.171
      2.40527      290.171
      2.47031      302.059
      2.53715      313.711
      2.60573      325.013
      2.67621      335.838
      2.74860      346.038
      2.82295      358.927
      2.89934      372.901
      2.97776      386.547
      3.05827      399.707
      3.14103      412.235
      3.22595      423.982
      3.31320      434.755
      3.40278      444.406
      3.49487      452.744
      3.58938      460.906
      3.68640      473.009
      3.78615      484.067
      3.88852      493.893
      3.99375      502.344
      4.10171      509.262
      4.21265      514.507
      4.32660      517.932
      4.44369      519.385
      4.56393      518.798
      4.68731      520.599
      4.81399      523.429
      4.94436      524.534
      5.07803      523.932
      5.21540      521.572
      5.35646      517.454
      5.50122      511.586
      5.65015      503.992
      5.80302      494.739
      5.95981      484.328
      6.12107      478.856
      6.28651      472.232
      6.45677      464.596
      6.63118      456.033
      6.81079      137.410
      6.99487      142.528
      7.18417      147.362
      7.37829      151.690
      7.57809      155.692
      7.78266      160.298
      7.99342      165.882
      8.20939      171.234
      8.43161      176.119
      8.65954      180.574
      8.89375      184.618
      9.13425      188.158
      9.38172      191.156
      9.63547      193.537
      9.89622      195.209
      10.1631      198.744
      10.4387      202.003
      10.7203      204.702
      11.0107      206.786
      11.3080      208.214
      11.6142      208.911
      11.9282      208.872
      12.2512      207.480
      12.5825      204.533
      12.9228      203.415
      13.2723      203.471
      13.6313      202.742
      14.0000      201.300
      14.3787      199.242
      14.7677      196.579
      15.1669      193.335
      15.5773      189.539
      15.9986      185.238
      16.4312      180.433
      16.8756      176.253
      17.3322      172.979
      17.8010      169.753
      18.2825      166.257
      18.7768      162.505
      19.2847      158.531
      19.8064      154.371
      20.3420      150.042
      20.8922      145.550
      21.4574      140.907
      22.0375      136.233
      22.6338      133.081
      23.2458      131.386
      23.8748      128.112
      24.5204      124.756
      25.1833      121.308
      25.8648      117.765
      26.5642      114.130
      27.2827      110.846
      28.0209      108.183
      28.7787      105.450
      29.5568      102.645
      30.3565      99.7640
      31.1772      96.8096
      32.0204      93.7962
      32.8868      91.4934
      33.7765      89.1288
      34.6895      86.7042
      35.6277      84.2151
      36.5920      81.6591
      37.5815      79.3887
      38.5983      77.3095
      39.6425      75.1764
      40.7140      72.9901
      41.8154      70.7462
      42.9467      68.8341
      44.1080      66.9570
      45.3007      65.0328
      46.5266      63.0595
      47.7837      61.5599
      49.0776      60.3417
      50.4046      58.8971
      51.7685      56.9562
      53.1672      54.9997
      54.6051      53.2222
      56.0823      51.4021
      57.5989      49.5403
      59.1573      48.3251
      60.7577      47.3248
      62.4000      46.2995
      64.0904      44.2617
      65.8224      41.6304
      67.6028      38.9422
      69.4315      36.4376
      71.3086      33.9713
      73.2380      31.6840
      75.2199      30.8728
      77.2543      30.0506
      79.3408      29.5855
      81.4895      29.3171
      83.6900      28.9093
      85.9590      28.4088
      88.2789      27.8978
      90.6677      27.2772
      93.1195      26.2177
      95.6411      25.3278
      98.2252      24.7785
      100.887      24.2696
      103.611      23.8122
      106.412      23.3211
      109.292      22.7913
      112.251      22.1657
      115.289      21.5062
      118.405      21.2510
      121.611      21.1094
      124.894      20.9540
      128.272      21.3942
      131.741      20.9301
      135.304      20.4537
      138.964      19.8845
      142.722      19.2816
      146.583      18.6375
      150.548      17.8266
      154.620      16.9969
      158.802      16.4291
      163.097      15.9904
      167.509      15.4519
      172.040      14.7244
      176.691      14.0955
      181.471      13.6568
      186.379      13.1932
      191.421      12.6798
      196.597      12.1894
      201.915      11.7651
      207.377      11.4262
      212.985      11.2049
      218.746      10.8718
      224.661      10.4732
      230.741      10.1172
      236.982      9.75054
      243.389      9.36191
      249.975      8.97020
      256.736      8.61646
      263.676      8.38140
      270.807      8.13741
      278.134      7.84483
      285.658      7.54710
      293.385      7.29804
      301.315      7.11518
      309.469      6.92886
      317.839      6.72329
      326.434      6.51320
      335.262      6.27897
      344.332      6.03265
      353.644      5.83109
      363.208      5.68263
      373.033      5.53138
      383.120      5.37754
      393.481      5.21652
      404.127      5.04412
      415.060      4.85936
      426.292      4.66101
      437.809      4.47722
      449.655      4.29890
      461.816      4.15798
      474.308      4.01491
      487.131      3.86959
      500.323      3.71570
      513.844      3.55660
      527.734      3.36738
      542.016      3.15986
      556.668      2.95984
      571.738      2.77210
      587.202      2.60178
      603.084      2.49017
      619.385      2.33244
      636.135      2.16625
      653.368      2.01613
      671.015      1.90317
      689.182      1.79026
      707.793      1.66960
      726.969      1.55466
      746.627      1.46092
      766.809      1.36553
      787.561      1.28526
      808.834      1.18589
      830.731      1.07611
      853.200     0.989192
      876.299     0.906420
      899.964     0.849581
      924.322     0.808229
      949.307     0.760537
      974.990     0.714386
      1001.37     0.672244
      1028.46     0.636122
      1056.23     0.643760
      1084.79     0.649735
      1114.14     0.654235
      1144.27     0.645751
      1175.29     0.630620
      1207.11     0.645117
      1239.70     0.639695
