340 lines : Si diode sensitivity - Tom Woods 10/03
 2 columns : Wavelength (Angstrom),  Sensitivity (electrons per photon)
     0.413233      2.51702
     0.424409      2.73146
     0.435885      2.96373
     0.447674      3.21534
     0.459795      3.48792
     0.472231      3.78299
     0.484997      4.10240
     0.498112      4.44818
     0.511596      4.82259
     0.525430      5.22767
     0.539634      5.66587
     0.554229      6.14001
     0.569218      6.65292
     0.584626      7.20776
     0.600426      7.80746
     0.616674      8.45607
     0.633340      9.15681
     0.650488      9.91331
     0.668086      10.7296
     0.686130      11.6098
     0.704695      12.5598
     0.723743      13.5839
     0.743315      14.6883
     0.763456      15.8795
     0.784074      17.1621
     0.805314      18.5452
     0.827073      20.0338
     0.849459      21.6367
     0.872414      23.3645
     0.895996      25.2209
     0.920273      27.2220
     0.945109      29.3705
     0.970715      31.6829
     0.996944      34.1666
      1.02395      36.8382
      1.05166      39.7076
      1.08007      42.7875
      1.10925      46.0914
      1.13933      49.6395
      1.17008      53.4413
      1.20173      57.5165
      1.23427      61.5853
      1.26763      65.8680
      1.30192      70.8235
      1.33712      76.1173
      1.37329      81.7805
      1.41043      87.8265
      1.44859      94.2837
      1.48777      101.167
      1.52800      108.505
      1.56934      116.323
      1.61178      124.638
      1.65538      133.476
      1.70015      142.866
      1.74613      152.828
      1.79337      163.379
      1.84186      174.548
      1.89169      186.363
      1.94286      198.827
      1.99540      211.962
      2.04936      225.791
      2.10479      240.322
      2.16171      255.554
      2.22021      271.507
      2.28024      288.166
      2.34193      305.540
      2.40527      323.594
      2.47031      342.332
      2.53715      361.708
      2.60573      381.681
      2.67621      402.219
      2.74860      423.258
      2.82295      444.727
      2.89934      466.523
      2.97776      488.585
      3.05827      510.775
      3.14103      532.978
      3.22595      555.055
      3.31320      576.833
      3.40278      598.181
      3.49487      618.927
      3.58938      638.881
      3.68640      657.798
      3.78615      675.529
      3.88852      691.821
      3.99375      706.489
      4.10171      719.316
      4.21265      730.119
      4.32660      738.691
      4.44369      744.826
      4.56393      748.422
      4.68731      749.303
      4.81399      747.399
      4.94436      742.529
      5.07803      734.754
      5.21540      724.003
      5.35646      710.298
      5.50122      693.679
      5.65015      674.180
      5.80302      651.942
      5.95981      627.112
      6.12107      599.705
      6.28651      569.936
      6.45677      537.965
      6.63118      504.046
      6.81079      143.926
      6.99487      140.505
      7.18417      146.836
      7.37829      153.250
      7.57809      159.656
      7.78266      166.008
      7.99342      172.264
      8.20939      178.346
      8.43161      184.013
      8.65954      189.309
      8.89375      194.257
      9.13425      198.765
      9.38172      202.801
      9.63547      206.285
      9.89622      209.126
      10.1631      211.311
      10.4387      212.729
      10.7203      213.354
      11.0107      213.103
      11.3080      211.950
      11.6142      209.801
      11.9282      206.663
      12.2512      206.351
      12.5825      205.886
      12.9228      206.506
      13.2723      206.450
      13.6313      205.591
      14.0000      204.001
      14.3787      201.779
      14.7677      198.936
      15.1669      195.498
      15.5773      191.495
      15.9986      186.973
      16.4312      181.938
      16.8756      176.416
      17.3322      172.654
      17.8010      169.414
      18.2825      165.906
      18.7768      162.137
      19.2847      158.146
      19.8064      153.971
      20.3420      149.628
      20.8922      145.123
      21.4574      140.467
      22.0375      135.779
      22.6338      132.609
      23.2458      131.614
      23.8748      128.351
      24.5204      125.003
      25.1833      121.563
      25.8648      118.028
      26.5642      114.401
      27.2827      111.126
      28.0209      108.473
      28.7787      105.750
      29.5568      102.956
      30.3565      100.085
      31.1772      97.1410
      32.0204      94.1374
      32.8868      91.8475
      33.7765      89.4960
      34.6895      87.0845
      35.6277      84.6084
      36.5920      82.0652
      37.5815      79.8091
      38.5983      77.7453
      39.6425      75.6276
      40.7140      73.4566
      41.8154      71.2276
      42.9467      69.3304
      44.1080      67.4668
      45.3007      65.5557
      46.5266      63.5950
      47.7837      62.1121
      49.0776      60.9133
      50.4046      59.4864
      51.7685      57.5579
      53.1672      55.6122
      54.6051      53.8467
      56.0823      52.0375
      57.5989      50.1854
      59.1573      48.9880
      60.7577      48.0085
      62.4000      47.0039
      64.0904      44.9708
      65.8224      42.3334
      67.6028      39.6364
      69.4315      37.1126
      71.3086      34.6181
      73.2380      32.2954
      75.2199      31.4565
      77.2543      30.6036
      79.3408      30.1163
      81.4895      29.8316
      83.6900      29.4319
      85.9590      28.9406
      88.2789      28.4387
      90.6677      27.8039
      93.1195      26.7110
      95.6411      25.7691
      98.2252      25.1720
      100.887      24.5995
      103.611      24.0604
      106.412      23.4911
      109.292      22.8908
      112.251      22.2147
      115.289      21.5087
      118.405      21.2098
      121.611      21.0260
      124.894      20.8296
      128.272      21.0279
      131.741      20.5554
      135.304      20.0704
      138.964      19.4941
      142.722      18.8850
      146.583      18.2359
      150.548      17.4241
      154.620      16.5948
      158.802      16.0220
      163.097      15.5751
      167.509      15.0311
      172.040      14.3041
      176.691      13.6737
      181.471      13.2282
      186.379      12.7590
      191.421      12.2422
      196.597      11.7482
      201.915      11.3186
      207.377      10.9714
      212.985      10.7373
      218.746      10.3961
      224.661      9.99284
      230.741      9.63070
      236.982      9.25908
      243.389      8.86735
      249.975      8.47357
      256.736      8.11851
      263.676      7.87935
      270.807      7.63198
      278.134      7.33965
      285.658      7.04323
      293.385      6.79295
      301.315      6.60475
      309.469      6.41368
      317.839      6.20521
      326.434      5.99311
      335.262      5.75930
      344.332      5.51752
      353.644      5.32325
      363.208      5.17834
      373.033      5.03122
      383.120      4.88206
      393.481      4.72685
      404.127      4.56176
      415.060      4.38632
      426.292      4.19934
      437.809      4.02618
      449.655      3.85843
      461.816      3.72483
      474.308      3.58992
      487.131      3.45344
      500.323      3.31007
      513.844      3.16300
      527.734      2.99280
      542.016      2.80769
      556.668      2.62957
      571.738      2.46249
      587.202      2.31352
      603.084      2.21835
      619.385      2.08206
      636.135      1.94655
      653.368      1.83040
      671.015      1.75829
      689.182      1.68571
      707.793      1.60003
      726.969      1.51213
      746.627      1.44017
      766.809      1.36341
      787.561      1.29916
      808.834      1.21187
      830.731      1.11117
      853.200      1.03088
      876.299     0.952935
      899.964     0.898504
      924.322     0.857947
      949.307     0.809120
      974.990     0.761234
      1001.37     0.716276
      1028.46     0.676972
      1056.23     0.683360
      1084.79     0.688293
      1114.14     0.692058
      1144.27     0.685726
      1175.29     0.672402
      1207.11     0.690836
      1239.70     0.688338
 1540	0.585198559
 1750	0.998781805
 2000	0.590680268
 2290	0.404366042
 2530	0.340528795
 2700	0.30164155
 3000	0.485105725
 3300	0.610795965
 3500	0.64106208
 3700	0.668391217
 4000	0.801416145
 4300	0.864853122
 4500	0.876000117
 4700	0.883560937
 5000	0.885090685
 5200	0.884423195
 5500	0.876751404
 5700	0.872085519
 6000	0.861537851
 6200	0.853740224
 6500	0.841036397
 6700	0.830732299
 7000	0.807525715
 7200	0.786816143
 7500	0.745426515
 7700	0.70835589
 8000	0.641504803
 8200	0.589576701
 8500	0.501682642
 8700	0.438854971
 9000	0.344339669
 9200	0.28295738
 9500	0.197034783
 9700	0.148243552
10000	0.088013219
10200	0.057119874
10500	0.024792456
10700	0.012743786
11000	0.005634649
