 ;  
 ;	Ran mewe_spec.pro for Temperature of 0.5 MK and 1-20 MK on 1 MK steps
 ;		and wavelength range from 0-300 Angstroms on 0.1 Angstrom grid
 ;  Then took weighted averages over all temperatures appropriate for solar min. and solar max. 
 ;		with scaling to Woods & Rottman solar reference spectrum at 200 Angstroms
 ;
 ;	Tom Woods,  5/29/04
 ;
 3000 lines : Mewe solar spectra at 0.5 MK and 1-20 MK on 1 MK steps weighted for solar min & max
 3 columns : wavelength (Angstroms), solar min and max spectra in units of photons/cm^2/second
    0.0500000      0.00000      0.00000
     0.150000      0.00000      0.00000
     0.250000      0.00000      0.00000
     0.350000      0.00000      0.00000
     0.450000      0.00000  1.66072e-27
     0.550000      0.00000  2.80933e-21
     0.650000      0.00000  5.60824e-17
     0.750000  2.43826e-34  7.83042e-14
     0.850000  1.71775e-29  1.95994e-11
     0.950000  1.13992e-25  1.51578e-09
      1.05000  1.40123e-22  5.07208e-08
      1.15000  4.95765e-20  9.14495e-07
      1.25000  6.81183e-18  1.03122e-05
      1.35000  4.48725e-16  8.07606e-05
      1.45000  1.65064e-14  0.000473870
      1.55000  3.79669e-13   0.00220361
      1.65000  5.94877e-12   0.00847416
      1.75000  6.78261e-11    0.0278476
      1.85000  5.92627e-10    0.0802327
      1.95000  4.13459e-09     0.220563
      2.05000  2.38072e-08     0.485053
      2.15000  1.16224e-07      1.04851
      2.25000  4.91805e-07      2.11228
      2.35000  1.83724e-06      4.00194
      2.45000  6.15281e-06      7.20320
      2.55000  1.87126e-05      12.3636
      2.65000  5.22521e-05      20.4392
      2.75000  0.000135223      31.9482
      2.85000  0.000326952      48.8735
      2.95000  0.000743724      72.5597
      3.05000   0.00160127      104.861
      3.15000   0.00328037      149.631
      3.25000   0.00642398      285.790
      3.35000    0.0120744      292.997
      3.45000    0.0218612      366.328
      3.55000    0.0382480      478.314
      3.65000    0.0648495      615.040
      3.75000     0.106822      779.805
      3.85000     0.171342      975.969
      3.95000     0.268163      1839.64
      4.05000     0.433128      2049.75
      4.15000     0.655874      1790.66
      4.25000     0.902763      2143.44
      4.35000      1.32486      3294.23
      4.45000      1.84674      3004.11
      4.55000      2.57783      3514.95
      4.65000      3.54549      3806.63
      4.75000      4.80922      4396.02
      4.85000      6.43916      5041.13
      4.95000      8.51701      5751.79
      5.05000      13.9859      26124.2
      5.15000      25.0442      8711.77
      5.25000      33.3681      10536.5
      5.35000      23.4903      9227.18
      5.45000      42.5899      15653.4
      5.55000      36.6423      11382.4
      5.65000      104.811      31623.8
      5.75000      55.5566      13828.5
      5.85000      67.6529      15163.0
      5.95000      81.8161      16572.8
      6.05000      98.2984      18082.0
      6.15000      117.368      16968.7
      6.25000      139.309      18024.9
      6.35000      164.422      19239.2
      6.45000      193.019      20854.5
      6.55000      225.433      22559.3
      6.65000      1255.51      259862.
      6.75000      2636.77      205875.
      6.85000      1185.87      33669.4
      6.95000      443.022      29452.5
      7.05000      460.053      34192.5
      7.15000      520.099      33612.9
      7.25000      589.478      35370.3
      7.35000      796.213      48896.8
      7.45000      1086.11      66958.9
      7.55000      840.449      41832.3
      7.65000      939.793      44168.3
      7.75000      1394.27      78177.9
      7.85000      3106.52      170720.
      7.95000      1345.59      51853.3
      8.05000      1432.45      54109.9
      8.15000      1574.25      56977.1
      8.25000      1730.28      59460.0
      8.35000      1898.39      62241.8
      8.45000      2081.72      116504.
      8.55000      2269.47      67999.3
      8.65000      2473.27      70975.3
      8.75000      2692.10      87716.1
      8.85000      2925.91      114450.
      8.95000      3162.26      81302.8
      9.05000      3419.03      83517.9
      9.15000      22033.1  1.03650e+06
      9.25000      19846.6      511457.
      9.35000      10674.0      555318.
      9.45000      4800.93      136404.
      9.55000      4485.84      86522.4
      9.65000      4761.87      89550.2
      9.75000      5100.80      159476.
      9.85000      5416.28      95940.4
      9.95000      5795.96      188170.
      10.0500      6153.18      164317.
      10.1500      71743.1  1.88134e+06
      10.2500      7073.72      208584.
      10.3500      43558.9  1.22518e+06
      10.4500      7792.19      127820.
      10.5500      8239.31      146546.
      10.6500      23472.4      660361.
      10.7500      51806.1  1.31607e+06
      10.8500      9690.46      185913.
      10.9500      18215.2      337429.
      11.0500      58538.5  1.10660e+06
      11.1500      63895.5  1.54614e+06
      11.2500      85734.1  2.07932e+06
      11.3500      13178.4      992029.
      11.4500      13846.3  1.09517e+06
      11.5500      32833.7  1.53171e+06
      11.6500      14303.3      186213.
      11.7500      14957.0      183344.
      11.8500      15628.7      359888.
      11.9500      16317.6      212961.
      12.0500      17024.2      216114.
      12.1500      143240.  4.07278e+06
      12.2500      191948.  3.84609e+06
      12.3500      19248.9      203046.
      12.4500      20672.5  1.73691e+06
      12.5500      33699.1      432714.
