;
;	xps_trans_xuv_cal.dat
;
;	Diode cal 1-12
;
;	ignore comment lines while looking for numbers
;
;	For each diode with XUV calibration (not diodes 4,8,12),
;	First Data Line: diode_number  num_bandpass (N)  primary_bandpass_index
;	"N" Data Lines: bandpass_range, factor_bandpass, factor_error,
;			transmission_bandpass, transmission_error, calibration_error
;	where
;		diode_number = 1 to 12
;		num_bandpass = "N" = number of bandpass regions from 0-40 nm
;		primary_bandpass_index = 0 to N-1
;		bandpass_range is 2 wavelengths given in nm
;		factor = inverse fraction of signal in bandpass and is unitless
;			   NOTE:  sum( 1/fraction ) == 1.0 by definition
;		transmission = filter transmission over bandpass and is unitless
;		errors = percentage due to solar variability weighting
;				on the factor and transmission value
;
;	Created  10/15/99  by Tom Woods
;	Modified 11/16/01  by Tom Woods using EUV81 Model ADJUSTED for SNOE
;
; Diode 1
;   Sens. =      /local/rocket/wrocket/henke/mod_bessy_ti_c_14_cal.dat
;   Ti/C #14  496/45 nm coating
  1  2  0
  0.1   7.0   1.0527  1.55  0.08020  12.96   2.0
  7.0  40.0  18.94   30.68  6.934E-4 10.61  10.0
; Diode 2
;   Sens. =      /local/rocket/wrocket/henke/mod_bessy_ti_c_10_cal.dat
;   Ti/C #10  482/48 nm coating
  2  2  0
  0.1   7.0   1.0572  1.65  0.08372  12.43   2.0
  7.0  40.0  17.506  30.11 7.853E-4  10.63  10.0
; Diode 3
;   Sens. =   /local/rocket/wrocket/henke/mod_bessy_al_sc_c_24_cal.dat
;   Al/Sc/C #24  142/23/50 nm coating
  3  4  2
  0.1   7.0   5.5018  17.85  0.1598  13.57   1.5
  7.0  17.0  31.103   20.53  0.02240  4.60   2.1
 17.0  27.0   1.3008   3.78  0.1822   2.35   3.0
 27.0  40.0  65.00     4.45  0.007044 9.78  10.0
; Diode 5
;   Sens. =  /local/rocket/wrocket/henke/mod_bessy_ti_pd_17_cal.dat
;   Ti/Pd #17  229/79 nm coating
  5  2  0
  0.1  10.0   1.0137  0.35  0.08686  4.06  1.2
 10.0  40.0  67.75   25.43 3.837E-4 21.75  10.0
; Diode 6
;   Sens. =   /local/rocket/wrocket/henke/mod_bessy_ti_zr_au_04_cal.dat
;   Ti/Zr/Au #04   59/204/100 nm coating
 6  3  1
  0.1   6.   17.56   30.55  0.002960 10.71  4.3
  6.0  12.0   1.0701  1.95  0.02816   0.24  1.2
 12.0  40.0  191.8   10.36 3.033E-05 18.54 10.0
; Diode 7
;   Sens. =  /local/rocket/wrocket/henke/mod_bessy_al_nb_c_03_cal.dat
;   Al/Nb/C #03  374/50/56 nm coating
  7  4  2
  0.1   4.0   8.108   42.99  0.1182    5.18   1.0
  4.0  17.0  25.36    11.68  0.002999  3.33  18.0
 17.0  21.0   1.2559   8.23  0.05042   6.18   1.8
 21.0  40.0  59.20    18.22  8.655E-4 17.27  10.0
; Diode 9
;   Sens. =  /local/rocket/wrocket/henke/mod_bessy_al_mn_06_cal.dat
;   Al/Mn #06  170/120 nm coating
  9  4  0
  0.1   7.0   1.2833   7.08  0.07133  25.24   4.0
  7.0  25.0  24.67    35.81  8.723E-4  8.04   9.0
 25.0  34.0   6.266   22.93  0.006977  3.22  10.0
 34.0  40.0  351.0    21.00  0.001047  0.99  10.0
; Diode 10
;   Sens. = /local/rocket/wrocket/henke/mod_bessy_al_cr_07_cal.dat
;   Al/Cr #07   170/100 nm coating
  10  4  0
  0.1   7.0   1.3843  10.91  0.08545  23.61   4.0
  7.0  28.0  27.78    28.21  8.579E-4  6.96   9.0
 28.0  34.0   5.1397  30.96  0.01583   6.14  10.0
 34.0  40.0  66.32    15.59  0.007100  0.99  10.0
; Diode 11
;   Sens. = /local/rocket/wrocket/henke/lymandiode.pro
;	with T_filter1 = 5.7
;	with T_filter1 = 5.696
;	with QE = 1.026 e-/ph
;   Two Acton Lyman-alpha filters
  11  1  0
  121.  122.  1.02416  4.6  0.001015  0.8  10.00
  
