2363 lines: X123 SURF flux @ 400 MeV
6 columns: BeamEnergy (MeV)	PhotonEnergy (keV)	Wavelength (nm)	Flux (ph/sec-0.15 keV-mA)	Ratio	Mesh
400	12.050	0.102891	2.30124E-22	0.999973	60
400	12.045	0.102934	2.37010E-22	0.999973	60
400	12.040	0.102977	2.44102E-22	0.999973	60
400	12.035	0.103020	2.51406E-22	0.999973	60
400	12.030	0.103063	2.58929E-22	0.999973	60
400	12.025	0.103105	2.66676E-22	0.999973	60
400	12.020	0.103148	2.74656E-22	0.999973	60
400	12.015	0.103191	2.82874E-22	0.999973	60
400	12.010	0.103234	2.91339E-22	0.999973	60
400	12.005	0.103277	3.00056E-22	0.999973	60
400	12.000	0.103320	3.09035E-22	0.999973	60
400	11.995	0.103363	3.18282E-22	0.999973	60
400	11.990	0.103406	3.27806E-22	0.999973	60
400	11.985	0.103449	3.37614E-22	0.999973	60
400	11.980	0.103493	3.47717E-22	0.999973	60
400	11.975	0.103536	3.58121E-22	0.999973	60
400	11.970	0.103579	3.68837E-22	0.999973	60
400	11.965	0.103622	3.79874E-22	0.999973	60
400	11.960	0.103666	3.91240E-22	0.999973	60
400	11.955	0.103709	4.02947E-22	0.999973	60
400	11.950	0.103752	4.15004E-22	0.999973	60
400	11.945	0.103796	4.27422E-22	0.999973	60
400	11.940	0.103839	4.40212E-22	0.999973	60
400	11.935	0.103883	4.53384E-22	0.999973	60
400	11.930	0.103926	4.66951E-22	0.999973	60
400	11.925	0.103970	4.80923E-22	0.999973	60
400	11.920	0.104014	4.95313E-22	0.999973	60
400	11.915	0.104057	5.10134E-22	0.999973	60
400	11.910	0.104101	5.25399E-22	0.999973	60
400	11.905	0.104145	5.41120E-22	0.999973	60
400	11.900	0.104188	5.57312E-22	0.999973	60
400	11.895	0.104232	5.73988E-22	0.999973	60
400	11.890	0.104276	5.91163E-22	0.999973	60
400	11.885	0.104320	6.08852E-22	0.999973	60
400	11.880	0.104364	6.27071E-22	0.999973	60
400	11.875	0.104408	6.45834E-22	0.999973	60
400	11.870	0.104452	6.65159E-22	0.999973	60
400	11.865	0.104496	6.85062E-22	0.999973	60
400	11.860	0.104540	7.05561E-22	0.999973	60
400	11.855	0.104584	7.26673E-22	0.999973	60
400	11.850	0.104628	7.48417E-22	0.999973	60
400	11.845	0.104672	7.70812E-22	0.999973	60
400	11.840	0.104716	7.93876E-22	0.999973	60
400	11.835	0.104761	8.17631E-22	0.999973	60
400	11.830	0.104805	8.42097E-22	0.999973	60
400	11.825	0.104849	8.67294E-22	0.999973	60
400	11.820	0.104894	8.93246E-22	0.999973	60
400	11.815	0.104938	9.19974E-22	0.999973	60
400	11.810	0.104982	9.47502E-22	0.999973	60
400	11.805	0.105027	9.75854E-22	0.999973	60
400	11.800	0.105071	1.00505E-21	0.999973	60
400	11.795	0.105116	1.03513E-21	0.999973	60
400	11.790	0.105160	1.06610E-21	0.999973	60
400	11.785	0.105205	1.09800E-21	0.999973	60
400	11.780	0.105250	1.13086E-21	0.999973	60
400	11.775	0.105294	1.16470E-21	0.999973	60
400	11.770	0.105339	1.19955E-21	0.999973	60
400	11.765	0.105384	1.23544E-21	0.999973	60
400	11.760	0.105429	1.27241E-21	0.999973	60
400	11.755	0.105474	1.31048E-21	0.999973	60
400	11.750	0.105518	1.34969E-21	0.999973	60
400	11.745	0.105563	1.39008E-21	0.999973	60
400	11.740	0.105608	1.43167E-21	0.999973	60
400	11.735	0.105653	1.47451E-21	0.999973	60
400	11.730	0.105698	1.51864E-21	0.999973	60
400	11.725	0.105743	1.56408E-21	0.999973	60
400	11.720	0.105789	1.61088E-21	0.999973	60
400	11.715	0.105834	1.65908E-21	0.999973	60
400	11.710	0.105879	1.70872E-21	0.999973	60
400	11.705	0.105924	1.75985E-21	0.999973	60
400	11.700	0.105969	1.81251E-21	0.999973	60
400	11.695	0.106015	1.86675E-21	0.999973	60
400	11.690	0.106060	1.92261E-21	0.999973	60
400	11.685	0.106105	1.98013E-21	0.999973	60
400	11.680	0.106151	2.03939E-21	0.999973	60
400	11.675	0.106196	2.10041E-21	0.999973	60
400	11.670	0.106242	2.16326E-21	0.999973	60
400	11.665	0.106287	2.22799E-21	0.999973	60
400	11.660	0.106333	2.29466E-21	0.999973	60
400	11.655	0.106379	2.36332E-21	0.999973	60
400	11.650	0.106424	2.43404E-21	0.999973	60
400	11.645	0.106470	2.50687E-21	0.999973	60
400	11.640	0.106516	2.58188E-21	0.999973	60
400	11.635	0.106561	2.65914E-21	0.999973	60
400	11.630	0.106607	2.73870E-21	0.999973	60
400	11.625	0.106653	2.82065E-21	0.999973	60
400	11.620	0.106699	2.90506E-21	0.999973	60
400	11.615	0.106745	2.99198E-21	0.999973	60
400	11.610	0.106791	3.08151E-21	0.999973	60
400	11.605	0.106837	3.17372E-21	0.999973	60
400	11.600	0.106883	3.26868E-21	0.999973	60
400	11.595	0.106929	3.36649E-21	0.999973	60
400	11.590	0.106975	3.46723E-21	0.999973	60
400	11.585	0.107021	3.57097E-21	0.999973	60
400	11.580	0.107068	3.67783E-21	0.999973	60
